Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
Envi,01/01/2023,00:00:00,2.6200000000000006,,,69.748,,,1.9632,,,,,,2.359112,,,,,93.52,,,38.79,,,,21.38,,73.69,279.44,0.31,,,,,,,2.063,0.182,2.245,54.21,,
Envi,01/01/2023,01:00:00,2.8820000000000006,,,67.30399999999999,,,1.9632,,,,,,2.46218,,,,,152.46,,,57.38,,,,20.66,,75.74,278.05,0.41,,,,,,,2.065,0.181,2.246,54.92,,
Envi,01/01/2023,02:00:00,3.668,,,57.528,,,1.9632,,,,,,3.000424,,,,,155.08,,,58.27,,,,20.12,,77.43,208.73,0.45,,,,,,,2.065,0.182,2.247,55.23,,
Envi,01/01/2023,03:00:00,3.1439999999999997,,,49.444,,,1.9632,,,,,,3.538668,,,,,135.01,,,51.89,,,,19.5,,78.9,207.93,0.44,,,,,,,2.065,0.181,2.247,53.85,,
Envi,01/01/2023,04:00:00,2.8820000000000006,,,49.81999999999999,,,1.9632,,,,,,2.97752,,,,,93.97,,,38.96,,,,18.94,,80.44,262.08,0.51,,,,,,,2.067,0.181,2.247,53.9,,
Envi,01/01/2023,05:00:00,2.6200000000000006,,,53.392,,,1.9632,,,,,,2.244592,,,,,84.94,,,36.1,,,,18.57,,81.68,236.96,0.4,,,,,,,2.064,0.183,2.247,53.03,,
Envi,01/01/2023,06:00:00,2.8820000000000006,,,57.904,,,1.9632,,,,,,2.313304,,,,,89.93,,,37.67,,,,18.35,,82.3,211.25,0.54,,,,,,,2.063,0.182,2.245,53.24,,
Envi,01/01/2023,07:00:00,2.6200000000000006,,,54.896,,,1.9632,,1.9632000000000005,,,,2.370564,,2.6582954999999995,,,86.59,,,36.62,,,,18.62,,82.71,225.62,0.55,,,,,,,2.063,0.182,2.245,53.07,,
Envi,01/01/2023,08:00:00,2.6200000000000006,,,81.592,,,1.9632,,1.9632000000000005,,,,2.038456,,2.6182135,,,82.51,,,35.34,,,,21.75,,79.59,264.34,0.95,,,,,,,2.061,0.182,2.243,51.2,,
Envi,01/01/2023,09:00:00,1.834,,,94.94,,,11.7792,,3.1902,,,,1.179556,,2.4578855,,,61.4,,,28.61,,,,25.42,,71.27,258.37,1.02,,,,,,,2.061,0.181,2.242,51.14,,
Envi,01/01/2023,10:00:00,1.5719999999999998,,,73.696,,,31.4112,,6.8712,,,,0.7558320000000001,,2.1773115000000005,,,42.87,,,22.72,,,,29.25,,61.38,153.87,0.22,,,,,,,2.061,0.181,2.242,51.39,,
Envi,01/01/2023,11:00:00,1.834,,,41.35999999999999,,,62.8224,,14.4786,,,,0.526792,,1.800827,,,30.49,,,18.93,,,,29.01,,57.07,60.65,1.16,,,,,,,2.063,0.182,2.245,51.66,,
Envi,01/01/2023,12:00:00,2.3579999999999997,,,28.952,,,82.4544,,24.54,,,,0.45808,,1.485897,,,28.11,,,18.14,,,,29.74,,54.88,26.88,1.8,,,,,,,2.065,0.181,2.246,50.18,,
Envi,01/01/2023,13:00:00,2.6200000000000006,,,28.952,,,88.34400000000001,,35.3376,,,,0.4809839999999999,,1.265446,,,28.22,,,18.17,,,,29.18,,55.54,25.09,2.08,,,,,,,2.068,0.181,2.249,50.35,,
Envi,01/01/2023,14:00:00,2.6200000000000006,,,31.396,,,88.34400000000001,,46.1352,,,,0.526792,,1.042132,,,28.35,,,18.25,,,,29.0,,56.3,18.95,2.13,,,,,,,2.069,0.182,2.251,52.7,,
Envi,01/01/2023,15:00:00,2.6200000000000006,,,34.404,,,82.4544,,56.1966,,,,0.549696,,0.8145235000000001,,,28.79,,,18.39,,,,28.09,,57.73,19.28,2.12,,,,,,,2.069,0.182,2.251,53.2,,
Envi,01/01/2023,16:00:00,2.6200000000000006,,,40.984,,,70.67519999999999,,64.7856,,,,0.6756679999999999,,0.6441749999999999,,,30.07,,,18.76,,,,26.86,,59.6,32.09,2.04,,,,,,,2.069,0.182,2.251,54.74,,
Envi,01/01/2023,17:00:00,2.3579999999999997,,,50.008,,,47.1168,,69.2028,,,,0.904708,,0.609819,,,32.72,,,19.59,,,,25.13,,63.64,23.12,1.9,,,,,,,2.068,0.182,2.25,54.42,,
Envi,01/01/2023,18:00:00,2.3579999999999997,,,56.776,,,37.3008,,69.93900000000001,,,,1.007776,,0.641312,,,35.08,,,20.37,,,,23.99,,67.57,28.12,1.45,,,,,,,2.068,0.181,2.249,54.38,,
Envi,01/01/2023,19:00:00,2.6200000000000006,,,61.852,,,23.5584,,65.031,,,,1.2940759999999998,,0.7372224999999999,,,38.44,,,21.44,,,,23.7,,69.55,26.18,1.32,,,,,,,2.067,0.181,2.248,54.39,,
Envi,01/01/2023,20:00:00,2.8820000000000006,,,61.476,,,27.4848,,58.1598,,,,1.2711720000000002,,0.8388589999999999,,,38.93,,,21.57,,,,23.56,,69.36,25.85,1.27,,,,,,,2.065,0.182,2.247,54.23,,
Envi,01/01/2023,21:00:00,2.6200000000000006,,,72.75599999999999,,,13.7424,,48.8346,,,,1.511664,,0.9676939999999998,,,42.98,,,22.82,,,,23.55,,70.22,23.68,0.94,,,,,,,2.066,0.181,2.247,54.47,,
Envi,01/01/2023,22:00:00,2.8820000000000006,,,71.06400000000001,,,1.9632,,38.03699999999999,,,,1.6032799999999998,,1.102255,,,65.15,,,29.83,,,,22.42,,72.0,225.47,0.96,,,,,,,2.066,0.181,2.247,54.63,,
Envi,01/01/2023,23:00:00,2.3579999999999997,,,61.664,,,1.9632,,27.9756,,,,1.191008,,1.182419,,,49.17,,,24.81,,,,21.3,,75.36,270.3,0.84,,,,,,,2.066,0.182,2.247,54.99,,
Envi,02/01/2023,00:00:00,2.096,,,55.084,,,1.9632,,19.3866,,,,0.984872,,1.2210694999999998,,,64.67,,,29.73,,,,20.75,,77.27,267.27,0.64,,,,,,,2.067,0.182,2.248,54.6,,
Envi,02/01/2023,01:00:00,2.096,,,54.52,,,1.9632,,13.7424,,,,0.8245439999999999,,1.2110489999999998,,,55.88,,,26.93,,,,20.31,,78.55,250.53,0.94,,,,,,,2.069,0.181,2.25,53.47,,
Envi,02/01/2023,02:00:00,2.096,,,51.51199999999999,,,1.9632,,9.3252,,,,0.7901879999999999,,1.1838505,,,57.11,,,27.33,,,,19.88,,79.65,236.86,0.84,,,,,,,2.068,0.182,2.25,53.01,,
Envi,02/01/2023,03:00:00,1.834,,,43.61599999999999,,,1.9632,,6.6258,,,,0.7558320000000001,,1.11657,,,60.81,,,28.47,,,,19.35,,80.78,230.15,0.88,,,,,,,2.068,0.183,2.25,52.6,,
Envi,02/01/2023,04:00:00,1.834,,,43.804,,,1.9632,,3.4356000000000004,,,,0.6184080000000001,,1.0349745,,,59.47,,,28.06,,,,18.94,,81.79,230.59,0.88,,,,,,,2.068,0.182,2.25,52.58,,
Envi,02/01/2023,05:00:00,1.5719999999999998,,,43.804,,,3.9264,,2.2086,,,,0.561148,,0.91616,,,63.3,,,29.28,,,,18.72,,82.54,251.55,0.89,,,,,,,2.067,0.183,2.25,53.29,,
Envi,02/01/2023,06:00:00,1.834,,,48.692,,,1.9632,,2.2086,,,,0.97342,,0.8374275,,,61.75,,,28.77,,,,18.52,,83.07,246.98,1.22,,,,,,,2.068,0.18,2.248,55.07,,
Envi,02/01/2023,07:00:00,2.096,,,48.128,,,3.9264,,2.454,,,,0.6413120000000001,,0.7687155,,,69.13,,,31.1,,,,18.72,,83.58,263.89,1.07,,,,,,,2.065,0.181,2.246,56.2,,
Envi,02/01/2023,08:00:00,2.096,,,58.092,,,5.8896,,2.9448,,,,0.8589,,0.752969,,,68.16,,,30.77,,,,21.76,,80.87,248.43,0.95,,,,,,,2.062,0.183,2.245,55.23,,
Envi,02/01/2023,09:00:00,2.096,,,61.664,,,15.7056,,4.662599999999999,,,,0.847448,,0.7558320000000001,,,51.31,,,25.39,,,,25.36,,74.05,201.08,0.8,,,,,,,2.062,0.181,2.243,53.83,,
Envi,02/01/2023,10:00:00,3.93,,,56.39999999999999,,,31.4112,,8.343599999999999,,,,0.835996,,0.761558,,,42.51,,,22.64,,,,27.85,,65.7,117.45,1.25,,,,,,,2.063,0.181,2.244,53.45,,
Envi,02/01/2023,11:00:00,7.336,,,38.916,,,58.896,,15.460199999999997,,,,0.6184080000000001,,0.74438,,,33.99,,,19.99,,,,27.64,,62.59,105.16,2.8,,,,,,,2.063,0.181,2.244,53.84,,
Envi,02/01/2023,12:00:00,6.550000000000001,,,42.488,,,66.74880000000002,,23.5584,,,,0.6298600000000001,,0.7458115,,,35.07,,,20.32,,,,27.12,,62.57,110.78,2.82,,,,,,,2.066,0.18,2.246,54.16,,
Envi,02/01/2023,13:00:00,8.384,,,41.17199999999999,,,74.6016,,32.3928,,,,0.6298600000000001,,0.7544005,,,33.79,,,19.9,,,,27.63,,57.27,110.42,2.61,,,,,,,2.067,0.182,2.249,54.5,,
Envi,02/01/2023,14:00:00,8.122,,,43.428,,,74.6016,,41.47260000000001,,,,0.5726,,0.7042980000000001,,,33.94,,,20.0,,,,27.83,,52.84,104.3,2.31,,,,,,,2.067,0.182,2.249,54.97,,
Envi,02/01/2023,15:00:00,6.287999999999999,,,45.12,,,72.63839999999999,,50.061600000000006,,,,0.549696,,0.692846,,,35.51,,,20.46,,,,27.97,,51.35,92.51,1.97,,,,,,,2.067,0.182,2.249,54.81,,
Envi,02/01/2023,16:00:00,4.715999999999999,,,49.068,,,70.67519999999999,,58.1598,,,,0.6184080000000001,,0.6627844999999999,,,35.81,,,20.62,,,,26.58,,53.66,104.84,2.98,,,,,,,2.068,0.182,2.249,54.65,,
Envi,02/01/2023,17:00:00,3.668,,,55.27199999999999,,,51.0432,,62.577000000000005,,,,0.7787360000000001,,0.6541955,,,41.0,,,22.23,,,,25.64,,55.29,105.42,2.29,,,,,,,2.067,0.181,2.248,53.54,,
Envi,02/01/2023,18:00:00,2.6200000000000006,,,60.16,,,39.264,,63.558600000000006,,,,0.950516,,0.6685105,,,46.41,,,23.93,,,,24.73,,57.56,89.37,1.76,,,,,,,2.066,0.181,2.247,52.63,,
Envi,02/01/2023,19:00:00,2.6200000000000006,,,75.576,,,15.7056,,58.15980000000001,,,,1.1452,,0.7343594999999999,,,45.9,,,23.77,,,,24.47,,57.42,150.51,0.87,,,,,,,2.065,0.182,2.246,52.55,,
Envi,02/01/2023,20:00:00,3.1439999999999997,,,72.192,,,15.7056,,51.7794,,,,0.996324,,0.7801675000000001,,,49.63,,,24.88,,,,24.2,,50.03,185.06,0.87,,,,,,,2.065,0.18,2.245,53.13,,
Envi,02/01/2023,21:00:00,3.668,,,76.14,,,7.8528,,43.4358,,,,0.961968,,0.821681,,,49.74,,,24.98,,,,23.75,,47.17,184.41,0.89,,,,,,,2.063,0.182,2.244,53.03,,
Envi,02/01/2023,22:00:00,3.1439999999999997,,,76.14,,,9.816,,35.337599999999995,,,,0.7672840000000001,,0.8460165000000001,,,63.73,,,29.4,,,,23.21,,48.08,209.23,0.79,,,,,,,2.064,0.18,2.244,52.26,,
Envi,02/01/2023,23:00:00,2.3579999999999997,,,68.244,,,15.7056,,28.221,,,,0.698572,,0.8646259999999999,,,62.47,,,29.03,,,,23.19,,49.18,221.71,0.72,,,,,,,2.063,0.181,2.244,67.92,,
Envi,03/01/2023,00:00:00,2.3579999999999997,,,57.904,,,27.4848,,22.8222,,,,0.492436,,0.8488795,,,51.0,,,25.4,,,,23.13,,50.02,213.24,0.77,,,,,,,2.064,0.181,2.246,49.37,,
Envi,03/01/2023,01:00:00,1.834,,,56.964,,,25.5216,,19.632,,,,0.423724,,0.804503,,,46.65,,,24.0,,,,22.92,,51.8,222.21,0.57,,,,,,,2.066,0.181,2.247,48.16,,
