vlookup,SO2,PM10,PM2.5,8h_Avg_WHO,8h_Avg_NS,C0_8h_Avg,NO2
Ajman01012023,1.9083333333333332,1.0595833333333333,0.08541666666666665,17.8325,17.8325,1.8775,43.26
Ajman01022023,1.2966666666666666,23.330833333333334,7.953749999999999,22.918750000000003,22.918750000000003,1.3624999999999998,29.63
Ajman01032023,2.155,17.2475,8.151666666666666,28.575,28.575,0.51,35.14
Ajman01042023,2.024583333333333,24.255,9.757916666666667,,,0.9562499999999999,36.08
Ajman01052023,2.935416666666667,,,22.016249999999992,22.016249999999992,0.40874999999999995,52.93
Ajman01062023,2.0415,,,,,,42.08
Ajman01072023,2.09375,,,81.00625,81.00625,0.8312499999999999,14.25
Ajman01082023,2.4891666666666667,,,45.473749999999995,45.473749999999995,0.7025,12.45
Ajman01092023,2.7929166666666667,,,38.92249999999999,38.92249999999999,0.2925,17.61
Ajman01102023,5.843333333333334,,,40.25125,40.25125,2.1125,17.29
Ajman01112023,1.825,,,11.966249999999992,11.966249999999992,1.725,26.32
Ajman01122023,2.6533333333333333,68.39166666666667,11.363750000000001,13.506249999999994,13.506249999999994,2.18625,43.57
Ajman02012023,1.8795833333333334,15.120833333333332,4.5441666666666665,15.002500000000001,15.002500000000001,0.94875,33.25
Ajman02022023,1.3325,26.065833333333334,10.354166666666666,24.551250000000003,24.551250000000003,1.29875,31.61
Ajman02032023,2.283333333333333,17.461666666666666,8.117916666666668,33.845,33.845,0.66125,18.73
Ajman02042023,1.9937500000000001,21.916666666666668,8.703333333333333,96.07409999999999,96.07409999999999,0.57625,2.42
Ajman02052023,2.96625,,,28.347499999999997,28.347499999999997,0.3087499999999999,49.64
Ajman02062023,2.0620833333333333,,,47.62,47.62,0.58125,41.58
Ajman02072023,2.1,,,68.74249999999999,68.74249999999999,0.61375,19.57
Ajman02082023,2.464166666666667,,,36.09624999999999,36.09624999999999,0.75875,21.37
Ajman02092023,2.76375,,,32.811249999999994,32.811249999999994,0.405,5.19
Ajman02102023,5.905,,,39.10624999999999,39.10624999999999,0.9075,33.92
Ajman02112023,1.8499999999999999,,,,,1.66125,35.56
Ajman02122023,2.6824999999999997,76.16541666666667,20.523333333333333,10.022499999999994,10.022499999999994,2.675,61.58
Ajman03012023,1.8129166666666665,19.5475,6.68625,12.24,12.24,0.73,37.53
Ajman03022023,1.3647826086956523,30.4275,13.042499999999999,,,1.4012499999999999,27.43
Ajman03032023,2.16375,14.728333333333333,7.5929166666666665,25.16125,25.16125,0.55375,33.85
Ajman03042023,2.045833333333333,15.650416666666667,6.579166666666667,113.7429,113.7429,0.34125,2.37
Ajman03052023,2.2383333333333333,,,40.881249999999994,40.881249999999994,0.485,21.64
Ajman03062023,2.19375,,,55.68375,55.68375,0.41000000000000003,19.15
Ajman03072023,2.1108333333333333,,,54.56625,54.56625,0.7974999999999999,11.88
Ajman03082023,2.43875,,,26.87624999999999,26.87624999999999,0.5650000000000001,17.18
Ajman03092023,2.783333333333333,,,30.303749999999994,30.303749999999994,0.31375,6.7
Ajman03102023,5.9070833333333335,,,44.44125,44.44125,1.0825,36.81
Ajman03112023,1.8166666666666667,,,20.328749999999992,20.328749999999992,1.75625,42.14
Ajman03122023,2.658333333333333,77.32791666666667,13.650416666666667,12.446249999999994,12.446249999999994,2.46,41.99
Ajman04012023,1.7575,26.63083333333333,7.845833333333334,29.37375,29.37375,0.5787500000000001,23.52
Ajman04022023,1.3862500000000002,27.71625,11.952916666666667,44.1875,44.1875,1.20125,6.92
Ajman04032023,2.0620833333333333,14.175416666666665,7.716666666666666,30.375,30.375,0.59875,13.25
Ajman04042023,2.055833333333333,16.749583333333334,6.8425,46.55237999999999,46.55237999999999,0.4525,30.74
Ajman04052023,2.21875,,,46.904999999999994,46.904999999999994,0.6249999999999999,19.13
Ajman04062023,2.3962499999999998,,,43.341249999999995,43.341249999999995,0.7949999999999999,45.55
Ajman04072023,2.13875,,,49.56374999999999,49.56374999999999,0.9362499999999999,21.03
Ajman04082023,2.4370833333333333,,,21.283749999999994,21.283749999999994,0.19625,26.48
Ajman04092023,2.776666666666667,,,19.242499999999993,19.242499999999993,0.39625,12.07
Ajman04102023,5.945833333333333,,,32.71374999999999,32.71374999999999,1.26875,34.22
Ajman04112023,1.7933333333333332,,,19.112499999999994,19.112499999999994,2.0225,32.95
