vlookup,SO2,PM10,PM2.5,8h_Avg_WHO,8h_Avg_NS,C0_8h_Avg,NO2,AQI
Ajman01012023,1.9083333333333328,1.059583333333333,0.0854166666666666,17.8325,17.8325,1.8775,43.26,43.26
Ajman01022023,1.2966666666666666,23.33083333333333,7.953749999999999,22.918750000000003,22.918750000000003,1.3624999999999998,29.63,29.63
Ajman01032023,2.155,17.2475,8.151666666666666,28.575,28.575,0.51,35.14,35.14
Ajman01042023,2.024583333333333,24.255,9.757916666666668,,,0.95625,36.08,36.08
Ajman01052023,2.935416666666667,,,22.016249999999992,22.016249999999992,0.4087499999999999,52.93,52.93
Ajman01062023,2.0415,,,,,,42.08,42.08
Ajman01072023,2.09375,,,81.00625,81.00625,0.8312499999999999,14.25,81.00625
Ajman01082023,2.4891666666666667,,,45.47375,45.47375,0.7025,12.45,45.47375
Ajman01092023,2.7929166666666667,,,38.92249999999999,38.92249999999999,0.2925,17.61,38.92249999999999
Ajman01102023,5.843333333333334,,,40.25125,40.25125,2.1125,17.29,40.25125
Ajman01112023,1.825,,,11.966249999999992,11.966249999999992,1.725,26.32,26.32
Ajman01122023,2.6533333333333333,68.39166666666667,11.36375,13.506249999999994,13.506249999999994,2.18625,43.57,68.39166666666667
Ajman02012023,1.8795833333333332,15.120833333333332,4.5441666666666665,15.0025,15.0025,0.94875,33.25,33.25
Ajman02022023,1.3325,26.06583333333333,10.354166666666666,24.551250000000003,24.551250000000003,1.29875,31.61,31.61
Ajman02032023,2.283333333333333,17.461666666666666,8.117916666666668,33.845,33.845,0.66125,18.73,33.845
Ajman02042023,1.99375,21.916666666666668,8.703333333333333,96.0741,96.0741,0.57625,2.42,96.0741
Ajman02052023,2.96625,,,28.3475,28.3475,0.3087499999999999,49.64,49.64
Ajman02062023,2.0620833333333333,,,47.62,47.62,0.58125,41.58,47.62
Ajman02072023,2.1,,,68.74249999999999,68.74249999999999,0.61375,19.57,68.74249999999999
Ajman02082023,2.464166666666667,,,36.09624999999999,36.09624999999999,0.75875,21.37,36.09624999999999
Ajman02092023,2.76375,,,32.811249999999994,32.811249999999994,0.405,5.19,32.811249999999994
Ajman02102023,5.905,,,39.10624999999999,39.10624999999999,0.9075,33.92,39.10624999999999
Ajman02112023,1.85,,,,,1.66125,35.56,35.56
Ajman02122023,2.6825,76.16541666666667,20.523333333333333,10.022499999999994,10.022499999999994,2.675,61.58,76.16541666666667
Ajman03012023,1.8129166666666665,19.5475,6.68625,12.24,12.24,0.73,37.53,37.53
Ajman03022023,1.3647826086956525,30.4275,13.0425,,,1.40125,27.43,30.4275
Ajman03032023,2.16375,14.728333333333332,7.592916666666666,25.16125,25.16125,0.55375,33.85,33.85
Ajman03042023,2.045833333333333,15.650416666666668,6.579166666666667,113.7429,113.7429,0.34125,2.37,113.7429
Ajman03052023,2.2383333333333333,,,40.88125,40.88125,0.485,21.64,40.88125
Ajman03062023,2.19375,,,55.68375,55.68375,0.41,19.15,55.68375
Ajman03072023,2.1108333333333333,,,54.56625,54.56625,0.7974999999999999,11.88,54.56625
Ajman03082023,2.43875,,,26.87624999999999,26.87624999999999,0.5650000000000001,17.18,26.87624999999999
Ajman03092023,2.783333333333333,,,30.303749999999997,30.303749999999997,0.31375,6.7,30.303749999999997
Ajman03102023,5.9070833333333335,,,44.44125,44.44125,1.0825,36.81,44.44125
Ajman03112023,1.8166666666666669,,,20.328749999999992,20.328749999999992,1.75625,42.14,42.14
Ajman03122023,2.658333333333333,77.32791666666667,13.650416666666668,12.446249999999994,12.446249999999994,2.46,41.99,77.32791666666667
Ajman04012023,1.7575,26.63083333333333,7.845833333333334,29.37375,29.37375,0.5787500000000001,23.52,29.37375
Ajman04022023,1.3862500000000002,27.71625,11.952916666666669,44.1875,44.1875,1.20125,6.92,44.1875
Ajman04032023,2.0620833333333333,14.175416666666663,7.716666666666666,30.375,30.375,0.59875,13.25,30.375
Ajman04042023,2.055833333333333,16.749583333333334,6.8425,46.55237999999999,46.55237999999999,0.4525,30.74,46.55237999999999
Ajman04052023,2.21875,,,46.905,46.905,0.6249999999999999,19.13,46.905
Ajman04062023,2.39625,,,43.34125,43.34125,0.7949999999999999,45.55,45.55
Ajman04072023,2.13875,,,49.56374999999999,49.56374999999999,0.93625,21.03,49.56374999999999
Ajman04082023,2.4370833333333333,,,21.283749999999998,21.283749999999998,0.19625,26.48,26.48
Ajman04092023,2.776666666666667,,,19.242499999999996,19.242499999999996,0.39625,12.07,19.242499999999996
Ajman04102023,5.945833333333333,,,32.71374999999999,32.71374999999999,1.26875,34.22,34.22
Ajman04112023,1.7933333333333332,,,19.112499999999997,19.112499999999997,2.0225,32.95,32.95
Ajman04122023,2.775416666666666,66.30458333333333,13.442916666666669,13.219999999999994,13.219999999999994,2.54625,41.11,66.30458333333333
Ajman05012023,1.76625,51.584583333333335,17.28708333333333,27.83,27.83,0.5987499999999999,20.76,51.584583333333335
Ajman05022023,1.50625,31.47958333333333,12.087916666666668,20.15,20.15,1.26625,40.71,40.71
Ajman05032023,2.234166666666667,17.006666666666664,7.980833333333333,30.775,30.775,0.57125,51.97,51.97
Ajman05042023,2.07875,17.29375,6.900833333333334,37.07993999999999,37.07993999999999,0.5275,36.72,37.07993999999999
Ajman05052023,2.248333333333333,,,35.16374999999999,35.16374999999999,0.8437499999999999,35.35,35.35
Ajman05062023,2.344583333333333,,,17.6775,17.6775,0.665,65.45,65.45
Ajman05072023,2.1666666666666665,,,40.33375,40.33375,1.0174999999999998,20.67,40.33375
Ajman05082023,2.4058333333333333,,,25.199999999999992,25.199999999999992,0.245,9.72,25.199999999999992
Ajman05092023,2.813333333333333,,,39.61874999999999,39.61874999999999,0.6025,10.77,39.61874999999999
Ajman05102023,6.1025,,,20.378749999999997,20.378749999999997,1.68625,30.5,30.5
Ajman05112023,1.815416666666667,,,21.562499999999996,21.562499999999996,1.9275,24.38,24.38
Ajman05122023,2.876666666666667,53.48291666666666,11.977083333333333,15.522499999999994,15.522499999999994,2.505,55.46,55.46
Ajman06012023,1.7474999999999998,11.619166666666668,5.01,19.95375,19.95375,0.935,27.46,27.46
Ajman06022023,1.5108333333333333,41.0275,15.054583333333332,11.59875,11.59875,1.58375,39.87,41.0275
Ajman06032023,2.322083333333333,35.43833333333333,10.39,20.44,20.44,,52.5,52.5
Ajman06042023,2.120833333333333,19.50583333333333,6.9175,,,0.895,47.21,47.21
Ajman06052023,2.29125,,,44.6475,44.6475,1.0825,8.15,44.6475
Ajman06062023,2.1579166666666665,,,16.03249999999999,16.03249999999999,,51.88,51.88
Ajman06072023,2.19125,,,61.41749999999999,61.41749999999999,1.265,17.08,61.41749999999999
Ajman06082023,2.474166666666666,,,18.741249999999997,18.741249999999997,0.1175,10.89,18.741249999999997
Ajman06092023,2.8654166666666665,,,27.494999999999997,27.494999999999997,0.7350000000000001,7.28,27.494999999999997
Ajman06102023,5.997083333333333,,,27.87749999999999,27.87749999999999,1.6475,20.27,27.87749999999999
Ajman06112023,1.862083333333333,,,17.491249999999994,17.491249999999994,1.96125,28.13,28.13
Ajman06122023,2.845833333333333,70.57083333333334,17.9925,11.647499999999992,11.647499999999992,2.28,54.14,70.57083333333334
Ajman07012023,1.8129166666666665,4.74875,3.2770833333333336,19.28625,19.28625,1.055,18.35,19.28625
Ajman07022023,1.512916666666667,73.26083333333334,27.845416666666665,10.997500000000002,10.997500000000002,1.3775,33.46,73.26083333333334
Ajman07032023,2.390416666666667,35.64833333333333,13.845833333333331,20.2275,20.2275,0.7162499999999999,72.66,72.66
Ajman07042023,2.150416666666666,12.555833333333332,5.577500000000001,,,1.04625,40.49,40.49
Ajman07052023,2.3070833333333334,,,61.41124999999999,61.41124999999999,1.1324999999999998,5.49,61.41124999999999
Ajman07062023,2.375,,,44.86125,44.86125,0.45625,25.79,44.86125
Ajman07072023,2.154583333333333,,,33.62249999999999,33.62249999999999,1.83375,15.81,33.62249999999999
Ajman07082023,2.48,,,11.914999999999992,11.914999999999992,0.17625,30.54,30.54
Ajman07092023,2.8695833333333334,,,21.982499999999995,21.982499999999995,0.64375,15.5,21.982499999999995
Ajman07102023,6.3500000000000005,,,27.348749999999995,27.348749999999995,1.72,21.9,27.348749999999995
Ajman07112023,1.8425,,,19.804999999999996,19.804999999999996,2.065,35.88,35.88
Ajman07122023,2.920833333333333,54.68833333333333,8.834583333333333,13.572499999999993,13.572499999999993,2.38375,48.05,54.68833333333333
Ajman08012023,1.825,8.388333333333334,4.117083333333333,11.54375,11.54375,1.61375,32.96,32.96
Ajman08022023,1.492916666666667,45.19583333333333,18.585,9.39875,9.39875,1.05375,35.7,45.19583333333333
Ajman08032023,2.455,33.6,12.825,20.3225,20.3225,0.785,71.91,71.91
Ajman08042023,2.09125,11.470833333333331,5.3325000000000005,40.02474,40.02474,0.9325,32.74,40.02474
Ajman08052023,2.4079166666666665,,,39.20624999999999,39.20624999999999,1.4225,44.11,44.11
Ajman08062023,2.28875,,,50.56,50.56,0.68125,31.98,50.56
Ajman08072023,2.1475,,,24.32624999999999,24.32624999999999,2.085,19.59,24.32624999999999
Ajman08082023,2.6245833333333333,,,31.389999999999997,31.389999999999997,0.84875,21.33,31.389999999999997
Ajman08092023,2.8354166666666667,,,18.37749999999999,18.37749999999999,0.2275,25.31,25.31
Ajman08102023,6.01125,,,26.994999999999997,26.994999999999997,1.2987499999999998,32.9,32.9
Ajman08112023,1.882083333333333,,,23.08749999999999,23.08749999999999,2.125,45.35,45.35
Ajman08122023,2.978333333333333,67.41875,10.23625,13.901249999999992,13.901249999999992,2.29625,45.05,67.41875
Ajman09012023,1.9129166666666668,28.00375,9.91625,13.5575,13.5575,1.69125,41.43,41.43
Ajman09022023,1.5416666666666667,25.304583333333337,12.480833333333337,41.94375,41.94375,0.81875,7.12,41.94375
Ajman09032023,2.275,60.90208333333334,16.117916666666666,9.399999999999997,9.399999999999997,0.3175,52.77,60.90208333333334
Ajman09042023,2.1579166666666665,14.86375,5.857916666666667,44.12291999999999,44.12291999999999,1.05,27.39,44.12291999999999
Ajman09052023,2.7062500000000003,,,14.658749999999992,14.658749999999992,1.02375,51.93,51.93
Ajman09062023,2.395,,,39.34,39.34,0.5075,64.25,64.25
Ajman09072023,2.1837500000000003,,,37.8325,37.8325,1.21375,25.22,37.8325
Ajman09082023,2.672083333333333,,,45.39374999999999,45.39374999999999,0.97625,20.67,45.39374999999999
Ajman09092023,2.9658333333333338,,,21.80249999999999,21.80249999999999,0.445,24.28,24.28
Ajman09102023,6.11875,,,9.872499999999992,9.872499999999992,1.78375,35.11,35.11
Ajman09112023,1.9883333333333333,,,17.273749999999993,17.273749999999993,2.06625,30.04,30.04
Ajman09122023,2.95125,75.01875,15.16875,20.668749999999992,20.668749999999992,2.1525,51.47,75.01875
Ajman10012023,1.7616666666666667,27.655416666666667,12.778333333333334,20.18625,20.18625,1.18,27.94,27.94
Ajman10022023,1.4513636363636364,8.501739130434782,6.1378260869565215,,,,6.11,8.501739130434782
Ajman10032023,2.1329166666666666,38.78833333333333,11.017083333333334,18.775,18.775,,26.57,38.78833333333333
Ajman10042023,2.2783333333333333,22.305833333333336,9.417916666666668,,,,51.68,51.68
Ajman10052023,2.5675,,,16.218749999999993,16.218749999999993,,39.4,39.4
Ajman10062023,2.398333333333333,,,29.69625,29.69625,,63.91,63.91
Ajman10072023,2.19875,,,43.86499999999999,43.86499999999999,1.225,16.59,43.86499999999999
Ajman10082023,2.540833333333333,,,22.14249999999999,22.14249999999999,0.25125,39.69,39.69
Ajman10092023,3.080416666666667,,,31.96624999999999,31.96624999999999,0.64375,18.99,31.96624999999999
Ajman10102023,6.024583333333333,,,40.7075,40.7075,1.69625,6.82,40.7075
Ajman10112023,1.98625,,,14.209999999999994,14.209999999999994,1.83625,38.35,38.35
Ajman10122023,3.0725,70.25666666666667,13.683750000000002,20.569999999999997,20.569999999999997,2.5025,59.09,70.25666666666667
Ajman11012023,1.8304166666666664,10.544166666666667,5.370833333333334,44.60875,44.60875,0.88625,5.49,44.60875
Ajman11022023,1.4945833333333332,10.878750000000002,6.535833333333334,18.92125,18.92125,0.95875,30.02,30.02
Ajman11032023,2.3375,40.95208333333333,11.846666666666666,12.226249999999997,12.226249999999997,,45.49,45.49
Ajman11042023,2.23,23.62833333333333,10.04375,,,0.4262499999999999,49.93,49.93
Ajman11052023,2.6283333333333334,,,7.573749999999995,7.573749999999995,,43.14,43.14
Ajman11062023,2.5033333333333334,,,38.5975,38.5975,0.76875,52.87,52.87
Ajman11072023,2.12875,,,18.52499999999999,18.52499999999999,0.87375,26.32,26.32
Ajman11082023,2.5741666666666667,,,40.95,40.95,0.47375,30.64,40.95
Ajman11092023,2.964166666666667,,,21.911249999999995,21.911249999999995,0.69875,14.82,21.911249999999995
Ajman11102023,6.03375,,,43.04499999999999,43.04499999999999,1.84875,20.25,43.04499999999999
Ajman11112023,2.0904166666666666,,,,,2.28375,40.71,40.71
Ajman11122023,2.8854166666666665,73.45666666666666,12.575,24.05374999999999,24.05374999999999,2.05125,29.32,73.45666666666666
Ajman12012023,1.887916666666667,31.250416666666663,10.185833333333331,13.978750000000002,13.978750000000002,1.14,37.61,37.61
Ajman12022023,1.56375,30.835,12.7875,20.26,20.26,1.3025,49.35,49.35
Ajman12032023,2.34625,31.786666666666665,11.185,27.108749999999997,27.108749999999997,0.39125,38.43,38.43
Ajman12042023,2.1479166666666667,43.55625,16.39375,22.62587999999999,22.62587999999999,,40.37,43.55625
Ajman12052023,2.597916666666667,,,29.41875,29.41875,0.4912499999999999,33.32,33.32
