vlookup,SO2,NO2,Daily_Avg_8h_WHO,Daily_Avg_8h_NS,Daily_Avg_8h_C0,PM10,PM2.5
AL Ma01012023,6.6,47.7,,,,24.6,6.8
AL Ma02012023,7.1,25.8,,,,42.7,11.7
AL Ma03012023,6.2,32.2,,,,33.2,9.1
AL Ma04012023,7.1,19.2,,,,36.9,10.2
AL Ma05012023,7.5,21.9,,,,72.5,20.2
AL Ma06012023,6.1,23.4,,,,38.8,10.3
AL Ma07012023,5.5,34.3,,,,22.0,6.1
AL Ma08012023,6.7,33.8,,,,23.1,6.3
AL Ma09012023,7.2,23.1,,,,22.2,6.2
AL Ma10012023,6.9,29.1,,,,97.7,26.9
AL Ma11012023,6.8,19.2,,,,27.8,7.8
AL Ma12012023,7.6,34.7,,,,44.2,12.1
AL Ma13012023,6.8,23.4,,,,35.2,9.6
AL Ma14012023,6.4,20.0,,,,28.2,7.8
AL Ma15012023,6.9,25.0,,,,29.9,8.3
AL Ma16012023,7.3,37.0,,,,37.8,10.6
AL Ma17012023,8.3,42.1,,,,47.1,12.8
AL Ma18012023,7.6,23.6,,,,33.4,9.2
AL Ma19012023,7.1,20.6,,,,24.7,6.7
AL Ma20012023,7.0,32.5,,,,36.2,9.9
AL Ma21012023,6.8,23.1,,,,21.7,5.9
AL Ma22012023,6.5,14.1,,,,21.5,6.1
AL Ma23012023,6.0,14.2,,,,23.1,6.2
AL Ma24012023,6.8,16.3,,,,16.9,4.7
AL Ma25012023,6.0,16.8,,,,29.3,8.1
AL Ma26012023,6.8,15.1,,,,16.6,4.5
AL Ma27012023,6.5,11.1,,,,12.7,3.5
AL Ma28012023,6.5,26.7,,,,13.8,3.9
AL Ma29012023,8.7,33.0,,,,29.1,8.0
AL Ma30012023,8.0,40.1,,,,40.4,11.2
AL Ma31012023,7.0,34.1,,,,40.4,11.0
AL Ma01022023,6.8,27.0,,,,45.6,11.9
AL Ma02022023,6.2,16.3,,,,51.1,13.1
AL Ma03022023,6.8,17.9,,,,58.5,15.2
AL Ma04022023,6.7,25.7,,,,44.5,11.9
AL Ma05022023,7.4,35.5,,,,56.4,15.0
AL Ma06022023,6.9,30.7,,,,63.8,16.4
AL Ma07022023,6.1,20.4,,,,76.0,20.3
AL Ma08022023,6.9,26.7,,,,81.7,21.3
AL Ma09022023,7.6,11.8,,,,70.3,18.4
AL Ma10022023,6.2,17.8,,,,52.3,13.7
AL Ma11022023,7.6,27.9,,,,44.1,11.4
AL Ma12022023,7.1,35.9,,,,50.8,13.5
AL Ma13022023,6.3,50.4,,,,55.3,14.6
AL Ma14022023,7.2,31.3,,,,103.0,27.5
AL Ma15022023,8.0,37.8,,,,89.5,23.4
AL Ma16022023,7.5,47.3,,,,98.3,26.2
AL Ma17022023,6.1,39.5,,,,52.2,13.9
AL Ma18022023,5.8,29.7,,,,52.7,13.7
AL Ma19022023,5.9,25.1,,,,44.4,11.9
AL Ma20022023,6.8,17.6,,,,28.1,7.1
AL Ma21022023,7.0,34.6,,,,20.7,5.4
AL Ma22022023,6.7,46.0,,,,30.3,8.1
AL Ma23022023,7.8,57.3,,,,57.7,15.1
AL Ma24022023,8.0,44.6,,,,58.1,15.5
AL Ma25022023,7.4,31.8,,,,79.1,21.2
AL Ma26022023,7.5,36.9,,,,65.8,17.4
AL Ma27022023,7.5,43.8,,,,39.5,10.4
AL Ma28022023,7.6,42.1,,,,45.0,12.1
AL Ma01032023,7.5,50.2,,,,42.4,11.4
AL Ma02032023,7.6,20.4,,,,45.6,12.6
AL Ma03032023,7.2,20.8,,,,41.8,11.4
AL Ma04032023,5.6,30.2,,,,30.2,8.4
AL Ma05032023,6.6,46.8,,,,42.1,11.5
AL Ma06032023,7.5,62.5,,,,32.4,9.0
AL Ma07032023,7.9,71.6,,,,50.6,13.9
AL Ma08032023,7.2,43.9,,,,60.3,16.6
AL Ma09032023,8.1,34.8,,,,44.5,12.3
AL Ma10032023,7.0,19.2,,,,55.2,15.2
AL Ma11032023,7.8,34.4,,,,51.0,14.0
AL Ma12032023,7.8,29.6,,,,48.6,13.4
AL Ma13032023,7.5,33.2,,,,48.4,13.3
AL Ma14032023,7.4,29.5,,,,50.5,13.8
AL Ma15032023,6.9,39.6,,,,27.7,7.6
AL Ma16032023,6.7,36.5,,,,38.4,10.7
AL Ma17032023,6.9,20.8,,,,44.0,12.0
AL Ma18032023,7.0,30.8,,,,31.3,8.6
AL Ma19032023,6.5,30.0,,,,34.4,9.4
AL Ma20032023,7.8,45.1,,,,45.0,12.4
AL Ma21032023,7.2,24.5,,,,42.1,11.5
AL Ma22032023,7.0,14.2,,,,28.9,8.0
AL Ma23032023,6.7,9.6,,,,24.0,6.7
AL Ma24032023,6.2,18.1,,,,27.2,7.4
AL Ma25032023,6.0,38.0,,,,23.4,6.4
AL Ma26032023,5.6,31.0,,,,15.5,4.3
AL Ma27032023,6.8,23.8,,,,30.9,8.9
AL Ma28032023,6.6,16.7,,,,64.4,17.4
AL Ma29032023,5.9,12.5,,,,42.3,11.7
AL Ma30032023,5.9,14.6,,,,41.2,11.3
AL Ma31032023,6.4,14.3,,,,41.2,11.3
AL Ma01042023,5.7,17.4,,,,34.8,9.6
AL Ma02042023,5.1,15.0,,,,40.1,10.9
AL Ma03042023,6.5,21.7,,,,35.1,9.7
AL Ma04042023,7.0,17.5,,,,40.0,11.1
AL Ma05042023,7.3,20.0,,,,36.4,10.1
AL Ma06042023,6.4,31.6,,,,49.5,13.5
AL Ma07042023,5.6,30.3,,,,44.6,12.4
AL Ma08042023,4.4,21.3,,,,37.3,10.2
AL Ma09042023,5.3,17.3,,,,38.4,10.6
AL Ma10042023,4.4,14.8,,,,53.7,14.7
AL Ma11042023,6.6,27.4,,,,53.3,14.6
AL Ma12042023,6.4,28.2,,,,54.2,14.9
AL Ma13042023,5.2,37.5,,,,62.2,17.1
AL Ma14042023,5.0,52.9,,,,48.2,13.3
AL Ma15042023,5.4,38.0,,,,57.3,15.8
AL Ma16042023,5.3,33.0,,,,55.7,15.2
AL Ma17042023,5.3,33.7,,,,48.0,13.3
AL Ma18042023,7.0,41.0,,,,43.8,12.0
AL Ma19042023,6.4,40.8,,,,49.9,13.9
AL Ma20042023,6.5,43.2,,,,49.0,13.3
AL Ma21042023,7.6,48.0,,,,48.7,13.5
AL Ma22042023,7.4,38.1,,,,48.3,13.3
AL Ma23042023,7.6,49.5,,,,43.4,11.8
AL Ma24042023,7.9,54.0,,,,53.0,14.6
AL Ma25042023,7.5,53.9,,,,55.9,15.4
AL Ma26042023,6.4,24.2,,,,74.4,20.5
AL Ma27042023,5.4,27.0,,,,79.6,22.0
AL Ma28042023,6.3,40.1,,,,103.8,28.6
AL Ma29042023,7.1,50.0,,,,90.6,25.2
AL Ma30042023,8.2,48.7,,,,108.1,30.0
AL Ma01052023,7.5,51.0,,,,188.9,52.3
AL Ma02052023,7.0,43.5,,,,133.8,35.7
AL Ma03052023,5.4,32.9,,,,67.8,18.9
AL Ma04052023,5.5,24.0,,,,87.6,24.2
AL Ma05052023,6.0,23.5,,,,67.9,18.4
AL Ma06052023,5.6,31.4,,,,65.8,18.2
AL Ma07052023,6.2,34.9,,,,62.3,17.3
AL Ma08052023,5.9,39.1,,,,69.6,19.1
AL Ma09052023,6.7,54.4,,,,86.0,24.4
AL Ma10052023,7.9,46.2,,,,105.4,28.4
AL Ma11052023,7.6,54.4,,,,106.7,29.4
AL Ma12052023,7.1,42.9,,,,86.6,23.7
AL Ma13052023,6.8,43.1,,,,64.1,17.6
AL Ma14052023,6.6,43.4,,,,130.5,36.1
AL Ma15052023,6.2,39.1,,,,82.0,22.2
AL Ma16052023,5.4,32.9,,,,59.6,16.6
AL Ma17052023,6.1,36.0,,,,60.2,16.3
AL Ma18052023,7.3,39.9,,,,58.6,16.3
AL Ma19052023,6.9,43.4,,,,80.8,22.2
AL Ma20052023,6.3,40.3,,,,80.9,22.3
AL Ma21052023,6.0,18.9,,,,56.3,15.3
AL Ma22052023,4.8,34.2,,,,34.3,9.5
AL Ma23052023,5.0,30.8,,,,60.5,17.0
AL Ma24052023,6.8,40.5,,,,114.7,32.0
AL Ma25052023,7.1,49.0,,,,170.1,46.6
AL Ma26052023,6.2,44.7,,,,91.9,24.9
AL Ma27052023,6.3,41.2,,,,75.0,20.8
AL Ma28052023,5.5,31.2,,,,133.5,37.3
AL Ma29052023,6.1,55.0,,,,228.1,62.9
AL Ma30052023,4.7,61.8,,,,203.3,55.2
AL Ma31052023,6.6,46.8,,,,182.0,50.3
AL Ma01062023,7.4,42.4,,,,101.0,27.4
AL Ma02062023,6.7,45.5,,,,82.0,22.9
AL Ma03062023,5.3,33.1,,,,86.7,23.7
AL Ma04062023,6.3,26.2,,,,106.8,29.4
AL Ma05062023,4.3,28.6,,,,112.9,31.4
AL Ma06062023,5.6,37.6,,,,147.7,40.2
AL Ma07062023,5.6,39.1,,,,103.3,28.9
AL Ma08062023,6.2,40.7,,,,144.4,39.7
AL Ma09062023,5.5,41.6,,,,156.0,43.3
AL Ma10062023,7.2,58.2,,,,192.6,52.6
AL Ma11062023,7.6,39.6,,,,138.3,38.0
AL Ma12062023,6.1,33.7,,,,145.8,40.2
AL Ma13062023,5.9,39.2,,,,164.1,45.2
AL Ma14062023,6.4,42.2,,,,153.7,42.0
AL Ma15062023,6.5,38.1,,,,86.3,23.6
AL Ma16062023,7.4,36.6,,,,110.8,30.4
AL Ma17062023,6.5,35.1,,,,97.2,26.5
AL Ma18062023,6.8,26.5,,,,66.5,18.4
AL Ma19062023,7.2,21.8,,,,63.6,17.3
AL Ma20062023,6.8,26.8,,,,85.0,23.5
AL Ma21062023,6.2,51.8,,,,134.5,37.2
AL Ma22062023,5.3,43.2,,,,112.9,30.8
AL Ma23062023,5.0,44.7,,,,47.1,13.1
AL Ma24062023,5.3,37.3,,,,61.5,17.0
AL Ma25062023,7.0,42.8,,,,66.8,18.3
AL Ma26062023,5.2,19.9,,,,64.5,17.7
AL Ma27062023,5.0,19.8,,,,142.3,39.4
AL Ma28062023,5.0,16.9,,,,132.8,37.4
AL Ma29062023,5.3,19.2,,,,177.4,48.3
AL Ma30062023,5.7,31.5,,,,133.6,36.3
AL Ma01072023,4.7,34.3,,,,79.4,21.9
AL Ma02072023,4.4,30.9,,,,69.7,19.2
AL Ma03072023,3.6,27.3,,,,58.7,16.1
AL Ma04072023,3.7,23.4,,,,57.2,15.8
AL Ma05072023,3.9,37.3,,,,80.9,22.2
AL Ma06072023,3.9,37.9,,,,65.1,17.8
AL Ma07072023,4.2,21.9,,,,90.3,25.1
AL Ma08072023,4.6,30.5,,,,191.2,53.4
AL Ma09072023,4.0,28.5,,,,210.3,57.8
AL Ma10072023,4.5,22.6,,,,161.5,44.1
AL Ma11072023,3.9,31.7,,,,163.0,45.5
AL Ma12072023,4.9,26.5,,,,175.7,47.7
AL Ma13072023,3.8,22.1,,,,108.9,29.9
AL Ma14072023,4.2,22.7,,,,114.1,31.4
AL Ma15072023,4.4,21.1,,,,120.5,33.2
AL Ma16072023,4.0,27.9,,,,136.7,37.6
AL Ma17072023,3.7,27.4,,,,105.5,29.0
AL Ma18072023,4.5,33.6,,,,97.6,26.8
AL Ma19072023,4.5,20.1,,,,114.0,31.3
AL Ma20072023,4.3,25.6,,,,86.9,23.7
AL Ma21072023,4.0,27.9,,,,74.0,20.5
AL Ma22072023,5.0,20.4,,,,124.3,34.7
AL Ma23072023,4.2,14.6,,,,141.8,38.6
AL Ma24072023,5.2,21.5,,,,95.5,26.4
AL Ma25072023,3.9,18.0,,,,81.0,22.0
AL Ma26072023,4.2,16.9,,,,70.0,19.2
AL Ma27072023,4.7,16.8,,,,51.8,14.3
