vlookup,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
Airpo01012023,,,,,,,,,,,,,,,,,,
Airpo01022023,,,,,,,,,,,,,,,,,,
Airpo01032023,,,,,,,,,,,,,,,,,,
Airpo01042023,,,,,,,,,,,,,,,,,,
Airpo01052023,,,,,,,,,,,,,,,,,,
Airpo01062023,,,,,,,,,,,,,,,,,,
Airpo01072023,,,,,,,,,,,,,,,,,,
Airpo01082023,,,,,,,,,,,,,,,,,,
Airpo01092023,,,,,,,,,,,,,,,,,,
Airpo01102023,,,,,,,,,,,,,,,,,,
Airpo01112023,,,,,,,,,,,,,,,,,,
Airpo01122023,,,,,,,,,,,,,,,,,,
Airpo02012023,,,,,,,,,,,,,,,,,,
Airpo02022023,,,,,,,,,,,,,,,,,,
Airpo02032023,,,,,,,,,,,,,,,,,,
Airpo02042023,,,,,,,,,,,,,,,,,,
Airpo02052023,,,,,,,,,,,,,,,,,,
Airpo02062023,,,,,,,,,,,,,,,,,,
Airpo02072023,,,,,,,,,,,,,,,,,,
Airpo02082023,,,,,,,,,,,,,,,,,,
Airpo02092023,,,,,,,,,,,,,,,,,,
Airpo02102023,,,,,,,,,,,,,,,,,,
Airpo02112023,,,,,,,,,,,,,,,,,,
Airpo02122023,,,,,,,,,,,,,,,,,,
Airpo03012023,,,,,,,,,,,,,,,,,,
Airpo03022023,,,,,,,,,,,,,,,,,,
Airpo03032023,,,,,,,,,,,,,,,,,,
Airpo03042023,,,,,,,,,,,,,,,,,,
Airpo03052023,,,,,,,,,,,,,,,,,,
Airpo03062023,,,,,,,,,,,,,,,,,,
Airpo03072023,,,,,,,,,,,,,,,,,,
Airpo03082023,,,,,,,,,,,,,,,,,,
Airpo03092023,,,,,,,,,,,,,,,,,,
Airpo03102023,,,,,,,,,,,,,,,,,,
Airpo03112023,,,,,,,,,,,,,,,,,,
Airpo03122023,,,,,,,,,,,,,,,,,,
Airpo04012023,,,,,,,,,,,,,,,,,,
Airpo04022023,,,,,,,,,,,,,,,,,,
Airpo04032023,,,,,,,,,,,,,,,,,,
Airpo04042023,,,,,,,,,,,,,,,,,,
Airpo04052023,,,,,,,,,,,,,,,,,,
Airpo04062023,,,,,,,,,,,,,,,,,,
Airpo04072023,,,,,,,,,,,,,,,,,,
Airpo04082023,,,,,,,,,,,,,,,,,,
Airpo04092023,,,,,,,,,,,,,,,,,,
Airpo04102023,,,,,,,,,,,,,,,,,,
Airpo04112023,,,,,,,,,,,,,,,,,,
Airpo04122023,,,,,,,,,,,,,,,,,,
Airpo05012023,,,,,,,,,,,,,,,,,,
Airpo05022023,,,,,,,,,,,,,,,,,,
Airpo05032023,,,,,,,,,,,,,,,,,,
Airpo05042023,,,,,,,,,,,,,,,,,,
Airpo05052023,,,,,,,,,,,,,,,,,,
Airpo05062023,,,,,,,,,,,,,,,,,,
Airpo05072023,,,,,,,,,,,,,,,,,,
Airpo05082023,,,,,,,,,,,,,,,,,,
Airpo05092023,,,,,,,,,,,,,,,,,,
Airpo05102023,,,,,,,,,,,,,,,,,,
Airpo05112023,,,,,,,,,,,,,,,,,,
Airpo05122023,,,,,,,,,,,,,,,,,,
Airpo06012023,,,,,,,,,,,,,,,,,,
Airpo06022023,,,,,,,,,,,,,,,,,,
Airpo06032023,,,,,,,,,,,,,,,,,,
Airpo06042023,,,,,,,,,,,,,,,,,,
Airpo06052023,,,,,,,,,,,,,,,,,,
Airpo06062023,,,,,,,,,,,,,,,,,,
Airpo06072023,,,,,,,,,,,,,,,,,,
Airpo06082023,,,,,,,,,,,,,,,,,,
Airpo06092023,,,,,,,,,,,,,,,,,,
Airpo06102023,,,,,,,,,,,,,,,,,,
Airpo06112023,,,,,,,,,,,,,,,,,,
Airpo06122023,,,,,,,,,,,,,,,,,,
Airpo07012023,,,,,,,,,,,,,,,,,,
Airpo07022023,,,,,,,,,,,,,,,,,,
Airpo07032023,,,,,,,,,,,,,,,,,,
Airpo07042023,,,,,,,,,,,,,,,,,,
Airpo07052023,,,,,,,,,,,,,,,,,,
Airpo07062023,,,,,,,,,,,,,,,,,,
Airpo07072023,,,,,,,,,,,,,,,,,,
Airpo07082023,,,,,,,,,,,,,,,,,,
Airpo07092023,,,,,,,,,,,,,,,,,,
Airpo07102023,,,,,,,,,,,,,,,,,,
Airpo07112023,,,,,,,,,,,,,,,,,,
Airpo07122023,,,,,,,,,,,,,,,,,,
Airpo08012023,,,,,,,,,,,,,,,,,,
Airpo08022023,,,,,,,,,,,,,,,,,,
Airpo08032023,,,,,,,,,,,,,,,,,,
Airpo08042023,,,,,,,,,,,,,,,,,,
Airpo08052023,,,,,,,,,,,,,,,,,,
Airpo08062023,,,,,,,,,,,,,,,,,,
Airpo08072023,,,,,,,,,,,,,,,,,,
Airpo08082023,,,,,,,,,,,,,,,,,,
Airpo08092023,,,,,,,,,,,,,,,,,,
Airpo08102023,,,,,,,,,,,,,,,,,,
Airpo08112023,,,,,,,,,,,,,,,,,,
Airpo08122023,,,,,,,,,,,,,,,,,,
Airpo09012023,,,,,,,,,,,,,,,,,,
Airpo09022023,,,,,,,,,,,,,,,,,,
Airpo09032023,,,,,,,,,,,,,,,,,,
Airpo09042023,,,,,,,,,,,,,,,,,,
Airpo09052023,,,,,,,,,,,,,,,,,,
Airpo09062023,,,,,,,,,,,,,,,,,,
Airpo09072023,,,,,,,,,,,,,,,,,,
Airpo09082023,,,,,,,,,,,,,,,,,,
Airpo09092023,,,,,,,,,,,,,,,,,,
Airpo09102023,,,,,,,,,,,,,,,,,,
Airpo09112023,,,,,,,,,,,,,,,,,,
Airpo09122023,,,,,,,,,,,,,,,,,,
Airpo10012023,,,,,,,,,,,,,,,,,,
Airpo10022023,,,,,,,,,,,,,,,,,,
Airpo10032023,,,,,,,,,,,,,,,,,,
Airpo10042023,,,,,,,,,,,,,,,,,,
Airpo10052023,,,,,,,,,,,,,,,,,,
Airpo10062023,,,,,,,,,,,,,,,,,,
Airpo10072023,,,,,,,,,,,,,,,,,,
Airpo10082023,,,,,,,,,,,,,,,,,,
Airpo10092023,,,,,,,,,,,,,,,,,,
Airpo10102023,,,,,,,,,,,,,,,,,,
Airpo10112023,,,,,,,,,,,,,,,,,,
Airpo10122023,,,,,,,,,,,,,,,,,,
Airpo11012023,,,,,,,,,,,,,,,,,,
Airpo11022023,,,,,,,,,,,,,,,,,,
Airpo11032023,,,,,,,,,,,,,,,,,,
Airpo11042023,,,,,,,,,,,,,,,,,,
Airpo11052023,,,,,,,,,,,,,,,,,,
Airpo11062023,,,,,,,,,,,,,,,,,,
Airpo11072023,,,,,,,,,,,,,,,,,,
Airpo11082023,,,,,,,,,,,,,,,,,,
Airpo11092023,,,,,,,,,,,,,,,,,,
Airpo11102023,,,,,,,,,,,,,,,,,,
Airpo11112023,,,,,,,,,,,,,,,,,,
Airpo11122023,,,,,,,,,,,,,,,,,,
Airpo12012023,,,,,,,,,,,,,,,,,,
Airpo12022023,,,,,,,,,,,,,,,,,,
Airpo12032023,,,,,,,,,,,,,,,,,,
Airpo12042023,,,,,,,,,,,,,,,,,,
Airpo12052023,,,,,,,,,,,,,,,,,,
Airpo12062023,,,,,,,,,,,,,,,,,,
Airpo12072023,,,,,,,,,,,,,,,,,,
Airpo12082023,,,,,,,,,,,,,,,,,,
Airpo12092023,,,,,,,,,,,,,,,,,,
