Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation
Baniyas School,01/04/2023,00:00:00,7.73,,6.5,58.71,,31.97,46.43,,111.7,,,,,,,,,74.5,,79.37,46.3,,46.21,23.02,23.23,1005.4,63.65,5.73,2.39,3.02,,,,,,,,,54.2,
Baniyas School,01/04/2023,01:00:00,9.2,,6.5,58.07,,31.97,44.27,,88.25,,,,,,,,,69.2,,79.37,43.9,,46.21,22.61,22.79,1004.7,66.16,53.32,1.19,3.28,,,,,,,,,55.06,
Baniyas School,01/04/2023,02:00:00,9.62,,6.5,63.04,,31.97,40.87,,73.87,,,,,,,,,79.0,,79.37,46.9,,46.21,21.85,22.42,1004.4,67.78,90.8,0.56,3.25,,,,,,,,,53.84,
Baniyas School,01/04/2023,03:00:00,11.01,,6.5,77.16,,31.97,22.02,,59.47,,,,,,,,,72.1,,79.37,45.4,,46.21,21.26,21.9,1004.2,70.13,90.65,0.58,3.21,,,,,,,,,53.83,
Baniyas School,01/04/2023,04:00:00,11.17,,6.5,40.46,,31.97,44.57,,50.58,,,,,,,,,74.3,,79.37,47.8,,46.21,20.8,21.29,1003.9,73.5,131.72,0.95,3.67,,,,,,,,,54.0,
Baniyas School,01/04/2023,05:00:00,11.62,,6.5,23.04,,31.97,58.01,,46.09,,,,,,,,,72.3,,79.37,47.0,,46.21,20.16,20.59,1004.3,75.19,123.34,0.86,3.26,,,,,,,,,57.26,
Baniyas School,01/04/2023,06:00:00,3.42,,6.5,33.62,,31.97,44.87,,44.37,,,,,,,,,62.3,,79.37,50.1,,46.21,19.53,20.02,1004.6,77.84,112.19,0.75,3.36,,,,,,,,,58.93,
Baniyas School,01/04/2023,07:00:00,3.9,,6.5,24.9,,31.97,48.42,,43.68,,,,,,,,,64.6,,79.37,56.0,,46.21,20.01,20.44,1005.4,79.31,168.51,1.29,4.05,,,,,,,,,54.54,
Baniyas School,01/04/2023,08:00:00,3.02,,6.5,44.33,,31.97,37.89,,42.62,,,,,,,,,77.5,,79.37,57.4,,46.21,22.47,22.82,1006.1,72.0,124.96,0.67,4.37,,,,,,,,,54.23,
Baniyas School,01/04/2023,09:00:00,3.34,,6.5,55.86,,31.97,46.39,,42.88,,,,,,,,,96.6,,79.37,56.6,,46.21,26.11,26.01,1007.0,56.95,105.49,0.5,6.08,,,,,,,,,54.07,
Baniyas School,01/04/2023,10:00:00,3.88,,6.5,36.81,,31.97,79.11,,47.66,,,,,,,,,99.9,,79.37,54.0,,46.21,30.67,30.31,1007.6,35.62,319.4,0.28,3.15,,,,,,,,,53.97,
Baniyas School,01/04/2023,11:00:00,4.54,,6.5,37.26,,31.97,96.49,,56.97,,,,,,,,,78.0,,79.37,52.4,,46.21,31.77,30.88,1007.9,22.77,338.82,1.68,3.47,,,,,,,,,54.2,
Baniyas School,01/04/2023,12:00:00,6.3,,6.5,51.21,,31.97,105.08,,64.53,,,,,,,,,76.4,,79.37,48.5,,46.21,31.42,29.97,1007.9,36.15,350.82,3.62,4.58,,,,,,,,,64.32,
Baniyas School,01/04/2023,13:00:00,6.26,,6.5,23.6,,31.97,93.12,,68.92,,,,,,,,,76.9,,79.37,40.4,,46.21,31.54,29.71,1007.4,29.05,352.92,4.51,4.03,,,,,,,,,59.62,
Baniyas School,01/04/2023,14:00:00,14.79,,6.5,10.22,,31.97,125.48,,79.0,,,,,,,,,59.1,,79.37,36.7,,46.21,31.68,29.92,1006.6,24.46,351.43,4.26,3.82,,,,,,,,,66.74,
Baniyas School,01/04/2023,15:00:00,9.89,,6.5,9.87,,31.97,146.2,,91.22,,,,,,,,,58.3,,79.37,38.4,,46.21,30.54,29.28,1006.1,32.41,348.6,3.63,3.03,,,,,,,,,65.78,
Baniyas School,01/04/2023,16:00:00,4.55,,6.5,8.93,,31.97,149.91,,105.22,,,,,,,,,89.5,,79.37,38.9,,46.21,29.33,28.03,1005.7,43.5,350.45,4.26,2.85,,,,,,,,,67.15,
Baniyas School,01/04/2023,17:00:00,3.35,,6.5,9.04,,31.97,125.13,,115.06,,,,,,,,,97.3,,79.37,41.7,,46.21,28.1,27.11,1005.7,48.66,350.41,4.54,3.38,,,,,,,,,66.04,
Baniyas School,01/04/2023,18:00:00,4.03,,6.5,11.02,,31.97,136.33,,122.22,,,,,,,,,87.3,,79.37,48.9,,46.21,26.43,25.87,1006.1,58.73,349.84,4.55,4.58,,,,,,,,,63.03,
Baniyas School,01/04/2023,19:00:00,3.67,,6.5,12.65,,31.97,107.79,,123.63,,,,,,,,,87.6,,79.37,45.6,,46.21,24.67,24.5,1006.4,68.63,350.43,4.22,3.43,,,,,,,,,67.68,
Baniyas School,01/04/2023,20:00:00,3.82,,6.5,12.1,,31.97,108.13,,124.01,,,,,,,,,95.1,,79.37,44.7,,46.21,23.55,23.63,1007.1,74.53,347.47,2.56,3.71,,,,,,,,,63.02,
Baniyas School,01/04/2023,21:00:00,5.08,,6.5,17.1,,31.97,102.79,,125.22,,,,,,,,,100.5,,79.37,42.4,,46.21,22.99,23.18,1007.6,78.71,347.05,1.95,3.82,,,,,,,,,60.36,
Baniyas School,01/04/2023,22:00:00,5.29,,6.5,22.05,,31.97,96.71,,121.62,,,,,,,,,86.0,,79.37,40.0,,46.21,22.69,22.87,1008.0,79.01,345.56,1.8,3.21,,,,,,,,,58.09,
Baniyas School,01/04/2023,23:00:00,6.64,,6.5,26.32,,31.97,97.29,,115.51,,,,,,,,,70.6,,79.37,39.1,,46.21,22.51,22.74,1007.9,78.18,348.83,1.84,3.15,,,,,,,,,55.87,
Baniyas School,02/04/2023,00:00:00,2.97,,4.48,18.72,,17.48,105.34,,109.94,,,,,,,,,57.8,,75.84,33.1,,27.18,22.55,22.81,1007.6,73.56,351.75,2.96,3.28,,,,,,,,,55.7,
Baniyas School,02/04/2023,01:00:00,3.37,,4.48,21.03,,17.48,94.96,,106.17,,,,,,,,,53.6,,75.84,33.0,,27.18,22.39,22.67,1007.3,70.87,350.38,2.29,3.11,,,,,,,,,56.38,
