Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,DATA COUNT
Baniyas School,01/01/2023,00:00:00,4.13,,6.45,66.33,,44.88,21.15,,61.7,,,,,,,,,71.0,,85.27,27.5,,33.02,19.52,20.05,1020.8,65.69,296.1,1.27,3.1,,,,,,,,,52.97,,,
Baniyas School,01/01/2023,01:00:00,4.81,,6.45,74.41,,44.88,11.71,,44.71,,,,,,,,,78.4,,85.27,28.8,,33.02,18.73,19.71,1020.5,66.51,329.6,0.8,3.38,,,,,,,,,59.76,,,
Baniyas School,01/01/2023,02:00:00,5.11,,6.45,71.63,,44.88,9.04,,39.61,,,,,,,,,94.2,,85.27,34.1,,33.02,18.02,19.16,1019.9,68.35,357.06,0.28,4.82,,,,,,,,,52.66,,,
Baniyas School,01/01/2023,03:00:00,6.09,,6.45,76.44,,44.88,5.66,,35.37,,,,,,,,,81.3,,85.27,33.0,,33.02,17.58,18.64,1019.4,70.68,323.57,0.43,4.96,,,,,,,,,53.57,,,
Baniyas School,01/01/2023,04:00:00,5.46,,6.45,69.75,,44.88,9.62,,20.21,,,,,,,,,74.1,,85.27,33.4,,33.02,17.7,18.66,1019.3,72.75,297.16,0.87,5.69,,,,,,,,,52.54,,,
Baniyas School,01/01/2023,05:00:00,5.81,,6.45,68.02,,44.88,5.57,,12.78,,,,,,,,,84.4,,85.27,33.7,,33.02,17.56,18.74,1019.4,74.22,329.23,0.43,5.46,,,,,,,,,51.84,,,
Baniyas School,01/01/2023,06:00:00,7.95,,6.45,59.16,,44.88,5.1,,10.09,,,,,,,,,94.9,,85.27,40.5,,33.02,16.93,17.9,1019.4,75.01,68.78,0.27,5.89,,,,,,,,,57.24,,,
Baniyas School,01/01/2023,07:00:00,9.18,,6.45,53.94,,44.88,5.71,,9.2,,,,,,,,,80.7,,85.27,44.8,,33.02,16.73,17.84,1020.0,76.31,161.96,0.3,6.5,,,,,,,,,52.77,,,
Baniyas School,01/01/2023,08:00:00,9.08,,6.45,47.93,,44.88,6.77,,7.4,,,,,,,,,74.4,,85.27,36.4,,33.02,17.2,18.09,1020.9,77.03,146.17,0.75,6.48,,,,,,,,,55.1,,,
Baniyas School,01/01/2023,09:00:00,8.43,,6.45,59.02,,44.88,6.89,,6.8,,,,,,,,,79.5,,85.27,39.6,,33.02,21.06,20.9,1021.4,70.88,97.8,0.35,6.71,,,,,,,,,54.54,,,
Baniyas School,01/01/2023,10:00:00,6.74,,6.45,62.13,,44.88,27.42,,9.09,,,,,,,,,99.8,,85.27,49.2,,33.02,23.16,22.67,1021.8,60.63,23.67,1.04,3.16,,,,,,,,,53.27,,,
Baniyas School,01/01/2023,11:00:00,6.9,,6.45,31.17,,44.88,75.03,,17.76,,,,,,,,,110.5,,85.27,44.3,,33.02,24.54,23.43,1021.6,60.56,349.54,3.01,2.23,,,,,,,,,58.16,,,
Baniyas School,01/01/2023,12:00:00,4.26,,6.45,7.57,,44.88,103.82,,29.54,,,,,,,,,94.2,,85.27,42.5,,33.02,24.97,23.78,1020.6,58.14,336.61,4.7,2.98,,,,,,,,,59.85,,,
Baniyas School,01/01/2023,13:00:00,5.2,,6.45,7.44,,44.88,108.53,,42.41,,,,,,,,,89.6,,85.27,37.3,,33.02,25.63,24.08,1019.3,55.9,333.49,4.77,3.38,,,,,,,,,64.9,,,
Baniyas School,01/01/2023,14:00:00,5.38,,6.45,6.63,,44.88,108.27,,55.3,,,,,,,,,79.8,,85.27,33.7,,33.02,25.76,24.17,1018.1,54.44,333.01,5.04,3.85,,,,,,,,,63.5,,,
Baniyas School,01/01/2023,15:00:00,5.06,,6.45,6.75,,44.88,109.01,,68.22,,,,,,,,,75.2,,85.27,24.8,,33.02,25.29,24.02,1017.4,55.6,333.56,5.66,3.83,,,,,,,,,68.96,,,
Baniyas School,01/01/2023,16:00:00,5.47,,6.45,7.21,,44.88,106.67,,80.7,,,,,,,,,72.8,,85.27,24.7,,33.02,24.62,23.7,1017.1,57.16,334.01,5.65,3.35,,,,,,,,,70.98,,,
