Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
Envi,01/06/2023,01:00:00,17.03,,,47.94,,,96.1968,,,,,,0.3,,,,,82.22,,,35.21,,,32.5,,,67.83,290.77,1.33,,,,,,,2.154,0.565,2.719,53.67,,
Envi,01/06/2023,02:00:00,14.934,,,44.744,,,111.9024,,,,,,0.26,,,,,90.73,,,37.91,,,31.85,,,69.92,273.33,1.38,,,,,,,2.634,0.539,3.173,53.69,,
Envi,01/06/2023,03:00:00,9.956,,,39.10399999999999,,,190.4304,,,,,,0.16,,,,,86.79,,,36.69,,,31.01,,,73.06,274.85,1.5,,,,,,,2.847,0.403,3.25,53.92,,
Envi,01/06/2023,04:00:00,11.79,,,38.54,,,186.504,,,,,,0.18,,,,,95.22,,,39.34,,,30.59,,,74.35,273.34,1.65,,,,,,,2.965,0.444,3.409,53.69,,
Envi,01/06/2023,05:00:00,13.1,,,35.907999999999994,,,182.5776,,,,,,0.19,,,,,109.59,,,43.85,,,30.28,,,75.21,259.54,1.56,,,,,,,2.664,0.478,3.142,54.78,,
Envi,01/06/2023,06:00:00,13.886,,,38.54,,,206.136,,,,,,0.34,,,,,119.6,,,46.99,,,31.51,,,75.13,280.77,1.56,,,,,,,2.633,0.487,3.119,56.01,,
Envi,01/06/2023,07:00:00,13.624,,,45.684,,,145.27679999999998,,152.3934,,,,0.28,,0.245,,,126.7,,,48.04,,,34.13,,,70.19,302.66,1.92,,,,,,,2.112,0.434,2.546,56.36,,
Envi,01/06/2023,08:00:00,12.838,,,41.924,,,121.7184,,155.09279999999998,,,,0.27,,0.2475,,,130.48,,,47.28,,,36.24,,,64.46,307.5,2.61,,,,,,,2.115,0.385,2.5,54.79,,
Envi,01/06/2023,09:00:00,13.1,,,42.112,,,84.4176,,153.62040000000002,,,,0.31,,0.24875,,,117.38,,,45.23,,,39.01,,,55.26,325.24,2.71,,,,,,,2.088,0.414,2.502,53.7,,
Envi,01/06/2023,10:00:00,9.432,,,40.42,,,68.712,,148.2216,,,,0.24,,0.24625,,,110.93,,,44.0,,,40.98,,,43.81,341.19,3.78,,,,,,,2.059,0.259,2.318,54.74,,
Envi,01/06/2023,11:00:00,8.646,,,41.924,,,107.976,,137.9148,,,,0.3,,0.26375,,,111.39,,,44.33,,,40.71,,,45.81,345.92,4.02,,,,,,,2.067,0.251,2.318,56.99,,
Envi,01/06/2023,12:00:00,9.432,,,37.6,,,129.5712,,130.7982,,,,0.3,,0.27875,,,107.27,,,43.1,,,40.92,,,46.59,350.64,4.03,,,,,,,2.067,0.239,2.306,54.81,,
Envi,01/06/2023,13:00:00,10.742,,,42.3,,,129.5712,,124.17239999999998,,,,0.39,,0.30375,,,103.28,,,41.82,,,40.55,,,47.81,359.55,4.55,,,,,,,2.072,0.284,2.356,54.7,,
Envi,01/06/2023,14:00:00,12.314,,,35.344,,,135.4608,,115.338,,,,0.33,,0.3025,,,103.37,,,41.82,,,40.14,,,50.39,356.09,4.43,,,,,,,2.067,0.249,2.316,54.69,,
Envi,01/06/2023,15:00:00,13.1,,,32.712,,,,,111.06102857142858,,,,0.32,,0.3075,,,92.29,,,38.34,,,39.87,,,51.5,349.5,4.23,,,,,,,2.073,0.246,2.32,54.74,,
Envi,01/06/2023,16:00:00,9.694,,,36.66,,,29.448,,97.87954285714284,,,,0.33,,0.315,,,84.71,,,36.01,,,38.69,,,52.53,343.53,3.81,,,,,,,2.084,0.274,2.357,54.22,,
Envi,01/06/2023,17:00:00,8.384,,,48.128,,,78.528,,97.03817142857142,,,,0.37,,0.3225,,,79.36,,,34.34,,,38.43,,,51.52,339.25,3.43,,,,,,,2.096,0.3,2.397,55.12,,
Envi,01/06/2023,18:00:00,7.598,,,60.91199999999999,,,62.8224,,96.1968,,,,0.56,,0.3625,,,81.2,,,34.92,,,36.48,,,53.47,351.52,3.34,,,,,,,2.084,0.294,2.378,53.19,,
Envi,01/06/2023,19:00:00,8.908,,,68.61999999999999,,,51.0432,,88.06354285714285,,,,0.62,,0.4025,,,77.5,,,33.72,,,35.12,,,55.74,352.55,3.21,,,,,,,2.088,0.287,2.374,53.54,,
Envi,01/06/2023,20:00:00,9.956,,,43.052,,,82.4544,,81.33257142857144,,,,0.3,,0.4025,,,72.21,,,32.06,,,34.26,,,59.05,328.58,3.5,,,,,,,2.083,0.255,2.338,53.42,,
Envi,01/06/2023,21:00:00,10.742,,,30.643999999999995,,,92.2704,,76.00388571428573,,,,0.25,,0.385,,,70.97,,,31.72,,,33.81,,,59.99,321.58,3.69,,,,,,,2.09,0.286,2.376,53.51,,
Envi,01/06/2023,22:00:00,12.052,,,38.728,,,66.74880000000002,,66.18788571428573,,,,0.31,,0.3825,,,74.04,,,32.65,,,33.81,,,58.42,319.89,3.82,,,,,,,2.103,0.377,2.48,53.06,,
Envi,01/06/2023,23:00:00,11.266,,,43.24,,,58.896,,65.27640000000001,,,,0.29,,0.37875,,,74.33,,,32.73,,,33.79,,,56.83,321.03,3.73,,,,,,,2.114,0.402,2.516,53.54,,
Envi,02/06/2023,00:00:00,11.004,,,51.7,,,45.1536,,67.23960000000001,,,,0.26,,0.37,,,73.13,,,32.35,,,33.17,,,58.84,309.03,2.01,,,,,,,2.13,0.468,2.598,52.91,,
Envi,02/06/2023,01:00:00,11.266,,,49.256,,,35.337599999999995,,61.8408,,,,0.2,,0.34875,,,69.28,,,31.14,,,32.03,,,62.14,306.81,1.66,,,,,,,2.273,0.411,2.684,61.67,,
Envi,02/06/2023,02:00:00,11.266,,,45.684,,,39.264,,58.89600000000001,,,,0.17,,0.3,,,65.61,,,30.0,,,31.65,,,62.74,305.96,1.47,,,,,,,2.539,0.364,2.903,51.05,,
Envi,02/06/2023,03:00:00,11.004,,,44.368,,,47.1168,,58.40520000000001,,,,0.13,,0.23875,,,65.69,,,30.02,,,31.46,,,62.93,316.92,1.66,,,,,,,2.942,0.324,3.266,49.52,,
Envi,02/06/2023,04:00:00,12.052,,,47.0,,,39.264,,53.006400000000006,,,,0.15,,0.2199999999999999,,,66.16,,,30.07,,,31.27,,,62.9,283.36,1.41,,,,,,,2.664,0.376,3.041,49.52,,
Envi,02/06/2023,05:00:00,12.838,,,36.472,,,43.1904,,46.87140000000001,,,,0.18,,0.2112499999999999,,,75.04,,,32.93,,,30.57,,,63.25,270.48,1.94,,,,,,,2.446,0.388,2.833,50.35,,
Envi,02/06/2023,06:00:00,13.624,,,39.668,,,45.1536,,44.172,,,,0.41,,0.2237499999999999,,,67.09,,,30.46,,,31.76,,,62.99,301.67,2.2,,,,,,,2.63,0.472,3.102,52.33,,
Envi,02/06/2023,07:00:00,16.244,,,40.232,,,54.9696,,43.6812,,,,0.19,,0.21125,,,71.62,,,31.72,,,34.5,,,59.87,316.43,2.8,,,,,,,2.171,0.371,2.541,53.85,,
Envi,02/06/2023,08:00:00,14.409999999999998,,,15.04,,,96.1968,,50.0616,,,,0.08,,0.18875,,,71.27,,,30.97,,,36.25,,,56.97,330.13,4.09,,,,,,,2.098,0.177,2.274,53.2,,
Envi,02/06/2023,09:00:00,12.838,,,20.116,,,92.2704,,57.1782,,,,0.15,,0.1825,,,66.1,,,29.5,,,37.41,,,54.35,340.32,3.91,,,,,,,2.1,0.175,2.275,52.43,,
Envi,02/06/2023,10:00:00,8.908,,,27.448,,,94.2336,,64.04939999999999,,,,0.19,,0.185,,,67.13,,,29.77,,,38.46,,,51.07,336.76,4.11,,,,,,,2.104,0.198,2.302,52.74,,
Envi,02/06/2023,11:00:00,8.908,,,27.824,,,96.1968,,70.18440000000001,,,,0.2,,0.1937499999999999,,,71.3,,,31.43,,,39.05,,,49.17,334.86,4.22,,,,,,,2.103,0.187,2.291,54.35,,
Envi,02/06/2023,12:00:00,9.956,,,25.192,,,102.0864,,78.03720000000001,,,,0.18,,0.1974999999999999,,,74.08,,,32.42,,,39.38,,,48.32,341.06,4.4,,,,,,,2.105,0.191,2.295,54.56,,
Envi,02/06/2023,13:00:00,11.266,,,18.8,,,109.9392,,86.3808,,,,0.15,,0.1937499999999999,,,74.94,,,32.25,,,40.01,,,47.35,344.76,4.4,,,,,,,2.106,0.164,2.27,52.48,,
Envi,02/06/2023,14:00:00,12.314,,,16.168,,,117.792,,95.4606,,,,0.14,,0.1599999999999999,,,77.22,,,33.02,,,39.66,,,48.43,333.79,4.92,,,,,,,2.105,0.165,2.27,52.33,,
Envi,02/06/2023,15:00:00,11.004,,,23.124,,,117.792,,103.31340000000002,,,,0.15,,0.155,,,66.41,,,29.9,,,39.72,,,48.61,343.25,4.18,,,,,,,2.106,0.172,2.278,53.62,,
Envi,02/06/2023,16:00:00,10.480000000000002,,,19.364,,,119.7552,,106.25820000000002,,,,0.14,,0.1624999999999999,,,56.56,,,27.01,,,38.54,,,49.61,338.35,4.36,,,,,,,2.108,0.161,2.27,53.08,,
Envi,02/06/2023,17:00:00,9.956,,,25.944,,,123.6816,,110.1846,,,,0.23,,0.1725,,,53.68,,,26.17,,,37.31,,,51.97,327.64,4.23,,,,,,,2.113,0.207,2.32,53.02,,
Envi,02/06/2023,18:00:00,8.646,,,34.96799999999999,,,125.6448,,114.111,,,,0.3,,0.18625,,,55.41,,,26.73,,,35.09,,,55.84,331.32,3.66,,,,,,,2.118,0.233,2.351,52.44,,
Envi,02/06/2023,19:00:00,9.956,,,21.432,,,145.27679999999998,,120.246,,,,0.2,,0.18625,,,55.44,,,26.68,,,33.0,,,61.93,326.0,4.17,,,,,,,2.116,0.197,2.314,56.02,,
Envi,02/06/2023,20:00:00,11.004,,,21.808,,,139.38719999999998,,124.9086,,,,0.23,,0.1925,,,56.94,,,27.26,,,32.31,,,64.45,323.1,4.3,,,,,,,2.112,0.201,2.313,52.84,,
Envi,02/06/2023,21:00:00,12.576,,,29.892,,,123.6816,,126.6264,,,,0.28,,0.20875,,,56.29,,,27.06,,,32.12,,,65.68,326.99,2.87,,,,,,,2.112,0.258,2.37,53.9,,
Envi,02/06/2023,22:00:00,13.624,,,33.088,,,104.0496,,124.9086,,,,0.32,,0.23125,,,58.64,,,27.81,,,32.04,,,65.54,312.19,1.87,,,,,,,2.114,0.332,2.447,61.35,,
Envi,02/06/2023,23:00:00,13.1,,,35.71999999999999,,,92.2704,,121.7184,,,,0.24,,0.2425,,,58.16,,,27.65,,,31.84,,,65.82,285.52,1.93,,,,,,,2.168,0.312,2.481,54.53,,
Envi,03/06/2023,00:00:00,12.576,,,30.643999999999995,,,86.3808,,117.5466,,,,0.19,,0.24875,,,55.3,,,26.74,,,31.36,,,66.46,293.59,1.86,,,,,,,2.356,0.299,2.655,54.49,,
Envi,03/06/2023,01:00:00,12.576,,,25.004,,,96.1968,,114.11100000000002,,,,0.14,,0.2375,,,54.7,,,26.55,,,30.92,,,66.77,300.83,2.26,,,,,,,2.223,0.274,2.497,53.16,,
Envi,03/06/2023,02:00:00,12.314,,,25.944,,,90.3072,,109.6938,,,,0.11,,0.21375,,,56.26,,,27.06,,,30.31,,,66.33,276.58,2.14,,,,,,,2.308,0.335,2.643,51.68,,
Envi,03/06/2023,03:00:00,11.79,,,28.2,,,86.3808,,102.3318,,,,0.09,,0.2,,,48.44,,,24.58,,,29.74,,,66.02,279.83,2.29,,,,,,,2.432,0.286,2.718,50.67,,
Envi,03/06/2023,04:00:00,13.1,,,23.312,,,86.3808,,95.706,,,,0.1,,0.18375,,,51.64,,,25.58,,,29.5,,,64.84,268.55,2.28,,,,,,,2.318,0.336,2.654,48.96,,
Envi,03/06/2023,05:00:00,13.886,,,30.643999999999995,,,68.712,,88.8348,,,,0.12,,0.16375,,,55.58,,,26.82,,,29.45,,,62.99,271.87,1.76,,,,,,,2.3,0.314,2.614,49.41,,
Envi,03/06/2023,06:00:00,14.409999999999998,,,31.583999999999996,,,70.67519999999999,,84.66300000000001,,,,0.13,,0.14,,,59.21,,,27.79,,,30.43,,,61.65,263.9,2.16,,,,,,,2.459,0.315,2.774,49.49,,
Envi,03/06/2023,07:00:00,14.934,,,23.312,,,70.67519999999999,,81.96360000000001,,,,0.09,,0.12125,,,55.76,,,25.7,,,32.19,,,57.05,277.91,2.62,,,,,,,2.35,0.265,2.616,49.87,,
Envi,03/06/2023,08:00:00,13.886,,,22.748,,,70.67519999999999,,80.00040000000001,,,,0.11,,0.1112499999999999,,,59.68,,,25.86,,,34.8,,,52.81,281.99,1.88,,,,,,,2.407,0.278,2.684,51.24,,
Envi,03/06/2023,09:00:00,12.838,,,28.952,,,84.4176,,78.528,,,,0.16,,0.11375,,,52.35,,,25.4,,,37.1,,,49.61,298.21,2.58,,,,,,,2.399,0.286,2.685,51.52,,
Envi,03/06/2023,10:00:00,10.480000000000002,,,30.643999999999995,,,94.2336,,79.0188,,,,0.18,,0.1225,,,46.8,,,23.86,,,38.86,,,46.24,312.66,2.78,,,,,,,2.22,0.269,2.489,52.41,,
Envi,03/06/2023,11:00:00,10.742,,,29.14,,,106.0128,,81.47279999999999,,,,0.17,,0.1324999999999999,,,47.02,,,24.03,,,40.89,,,41.4,304.14,2.07,,,,,,,2.295,0.273,2.568,64.07,,
Envi,03/06/2023,12:00:00,11.004,,,35.71999999999999,,,115.8288,,85.15379999999999,,,,0.23,,0.14875,,,50.39,,,25.09,,,42.55,,,38.39,315.44,2.02,,,,,,,2.232,0.29,2.523,53.96,,
Envi,03/06/2023,13:00:00,11.266,,,51.324,,,137.424,,93.7428,,,,0.48,,0.19375,,,48.32,,,24.38,,,41.4,,,46.83,18.98,3.06,,,,,,,2.122,0.278,2.4,54.45,,
Envi,03/06/2023,14:00:00,11.528000000000002,,,38.54,,,135.4608,,101.84099999999998,,,,0.38,,0.2249999999999999,,,48.62,,,24.47,,,40.84,,,49.0,9.55,2.9,,,,,,,2.114,0.237,2.351,53.97,,
Envi,03/06/2023,15:00:00,11.004,,,35.532000000000004,,,249.3264,,124.1724,,,,0.39,,0.2625,,,50.7,,,25.16,,,38.82,,,55.09,36.81,3.34,,,,,,,2.118,0.229,2.347,54.14,,
Envi,03/06/2023,16:00:00,10.742,,,37.036,,,233.6208,,144.5406,,,,0.41,,0.3,,,49.88,,,25.05,,,38.21,,,56.16,29.27,2.81,,,,,,,2.128,0.246,2.374,54.27,,
Envi,03/06/2023,17:00:00,10.742,,,51.7,,,109.9392,,147.73080000000002,,,,0.63,,0.35875,,,49.17,,,24.8,,,38.19,,,51.87,15.88,2.58,,,,,,,2.125,0.315,2.44,54.2,,
Envi,03/06/2023,18:00:00,7.336,,,87.608,,,64.7856,,144.0498,,,,0.97,,0.4575,,,49.56,,,24.53,,,37.02,,,48.55,25.28,1.75,,,,,,,2.129,0.467,2.596,52.61,,
Envi,03/06/2023,19:00:00,8.384,,,81.77999999999999,,,62.8224,,138.651,,,,1.04,,0.56625,,,48.19,,,24.48,,,35.49,,,50.02,34.18,1.63,,,,,,,2.142,0.495,2.636,52.67,,
Envi,03/06/2023,20:00:00,8.646,,,68.996,,,157.056,,143.80440000000002,,,,1.07,,0.67125,,,47.83,,,24.37,,,34.19,,,58.31,51.25,1.17,,,,,,,2.149,0.411,2.56,52.01,,
