Station Name,Date,O3,datacap,8h_Avg_WHO,8h_Avg_NS,8h_Avg_WHO_DC,8h_Avg_NS_DC,Daily_Avg_8h_WHO,Daily_Avg_8h_NS
Masfout,2023-01-01,76.5648,,,,,,,
Masfout,2023-01-01,72.63839999999999,,,,,,,
Masfout,2023-01-01,66.74880000000002,,,,,,,
Masfout,2023-01-01,54.9696,,,,,,,
Masfout,2023-01-01,72.63839999999999,,,,,,,
Masfout,2023-01-01,90.3072,,,,,,,
Masfout,2023-01-01,74.6016,,,,,,,
Masfout,2023-01-01,70.67519999999999,100.0,72.393,72.393,,,,
Masfout,2023-01-01,78.528,100.0,72.6384,72.6384,,,,
Masfout,2023-01-01,109.9392,100.0,77.301,77.301,,,,
Masfout,2023-01-01,107.976,100.0,82.45439999999999,82.45439999999999,,,,
Masfout,2023-01-01,111.9024,100.0,89.571,89.571,,,,
Masfout,2023-01-01,119.7552,100.0,95.4606,95.4606,,,,
Masfout,2023-01-01,125.6448,100.0,99.87780000000001,99.87780000000001,,,,
Masfout,2023-01-01,127.608,100.0,106.50359999999999,106.50359999999999,,,,
Masfout,2023-01-01,129.5712,100.0,113.8656,113.8656,,,,
Masfout,2023-01-01,133.49760000000003,100.0,120.73680000000002,120.73680000000002,,,,
Masfout,2023-01-01,139.38719999999998,100.0,124.4178,124.4178,,,,
Masfout,2023-01-01,153.1296,100.0,130.062,130.062,,,,
Masfout,2023-01-01,147.24,100.0,134.47920000000002,134.47920000000002,,,,
Masfout,2023-01-01,113.8656,100.0,133.743,133.743,,,,
Masfout,2023-01-01,107.976,100.0,131.5344,131.5344,,,,
Masfout,2023-01-01,113.8656,100.0,129.8166,129.8166,,,,
Masfout,2023-01-01,109.9392,100.0,127.3626,127.3626,70.83333333333334,70.83333333333334,,
Masfout,2023-01-02,104.0496,100.0,123.68159999999999,123.68159999999999,,,,
Masfout,2023-01-02,88.34400000000001,100.0,117.30120000000001,117.30120000000001,,,,
Masfout,2023-01-02,82.4544,100.0,108.46679999999999,108.46679999999999,,,,
Masfout,2023-01-02,68.712,100.0,98.6508,98.6508,,,,
Masfout,2023-01-02,64.7856,100.0,92.5158,92.5158,,,,
Masfout,2023-01-02,45.1536,100.0,84.663,84.663,,,,
Masfout,2023-01-02,35.337599999999995,100.0,74.84700000000001,74.84700000000001,,,,
Masfout,2023-01-02,58.896,100.0,68.4666,68.4666,,,,
Masfout,2023-01-02,68.712,100.0,64.0494,64.0494,,,,
Masfout,2023-01-02,102.0864,100.0,65.7672,65.7672,,,,
Masfout,2023-01-02,117.792,100.0,70.18440000000001,70.18440000000001,,,,
Masfout,2023-01-02,121.7184,100.0,76.8102,76.8102,,,,
Masfout,2023-01-02,127.608,100.0,84.663,84.663,,,,
Masfout,2023-01-02,133.49760000000003,100.0,95.706,95.706,,,,
Masfout,2023-01-02,135.4608,100.0,108.2214,108.2214,,,,
Masfout,2023-01-02,133.49760000000003,100.0,117.54660000000001,117.54660000000001,,,,
Masfout,2023-01-02,135.4608,100.0,125.89020000000002,125.89020000000002,,,,
Masfout,2023-01-02,131.53440000000003,100.0,129.57120000000003,129.57120000000003,,,,
Masfout,2023-01-02,125.6448,100.0,130.55280000000002,130.55280000000002,,,,
Masfout,2023-01-02,121.7184,100.0,130.55280000000002,130.55280000000002,,,,
Masfout,2023-01-02,115.8288,100.0,129.0804,129.0804,,,,
Masfout,2023-01-02,109.9392,100.0,126.13560000000001,126.13560000000001,,,,
Masfout,2023-01-02,106.0128,100.0,122.45460000000001,122.45460000000001,,,,
Masfout,2023-01-02,96.1968,100.0,117.792,117.792,100.0,100.0,102.648775,102.648775
Masfout,2023-01-03,88.34400000000001,100.0,111.9024,111.9024,,,,
Masfout,2023-01-03,98.16,100.0,107.7306,107.7306,,,,
Masfout,2023-01-03,100.1232,100.0,104.54039999999999,104.54039999999999,,,,
Masfout,2023-01-03,100.1232,100.0,101.841,101.841,,,,
Masfout,2023-01-03,106.0128,100.0,100.614,100.614,,,,
Masfout,2023-01-03,106.0128,100.0,100.1232,100.1232,,,,
Masfout,2023-01-03,96.1968,100.0,98.8962,98.8962,,,,
Masfout,2023-01-03,80.49119999999999,100.0,96.933,96.933,,,,
Masfout,2023-01-03,94.2336,100.0,97.6692,97.6692,,,,
Masfout,2023-01-03,102.0864,100.0,98.16,98.16,,,,
Masfout,2023-01-03,117.792,100.0,100.3686,100.3686,,,,
Masfout,2023-01-03,121.7184,100.0,103.068,103.068,,,,
Masfout,2023-01-03,125.6448,100.0,105.52199999999999,105.52199999999999,,,,
Masfout,2023-01-03,139.38719999999998,100.0,109.6938,109.6938,,,,
Masfout,2023-01-03,155.0928,100.0,117.0558,117.0558,,,,
Masfout,2023-01-03,145.27679999999998,100.0,125.154,125.154,,,,
Masfout,2023-01-03,129.5712,100.0,129.5712,129.5712,,,,
Masfout,2023-01-03,123.6816,100.0,132.2706,132.2706,,,,
Masfout,2023-01-03,123.6816,100.0,133.0068,133.0068,,,,
Masfout,2023-01-03,121.7184,100.0,133.0068,133.0068,,,,
Masfout,2023-01-03,115.8288,100.0,131.7798,131.7798,,,,
Masfout,2023-01-03,111.9024,100.0,128.3442,128.3442,,,,
Masfout,2023-01-03,111.9024,100.0,122.9454,122.9454,,,,
Masfout,2023-01-03,104.0496,100.0,117.792,117.792,100.0,100.0,112.832875,112.832875
Masfout,2023-01-04,106.0128,100.0,114.8472,114.8472,,,,
