Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
Masfout,01/03/2023,00:00:00,12.838,,,11.468,,,88.87199999999999,,,,,,0.17178,,,,,32.28,,,15.64,,,,22.4,,42.0,47,3.3,,,,,,,2.0831,0.1397,2.223,,,
Masfout,01/03/2023,01:00:00,13.624,,,12.784,,,77.28,,,,,,0.183232,,,,,32.01,,,15.54,,,,21.4,,44.0,65,3.2,,,,,,,2.0998,0.1707,2.2704,,,
Masfout,01/03/2023,02:00:00,13.886,,,13.16,,,73.416,,,,,,0.17178,,,,,32.22,,,15.52,,,,21.1,,45.0,49,3.4,,,,,,,2.1042,0.144,2.2481,,,
Masfout,01/03/2023,03:00:00,12.838,,,11.092,,,61.824,,,,,,0.17178,,,,,39.66,,,17.91,,,,20.1,,47.0,44,3.2,,,,,,,2.1325,0.1444,2.2767,,,
Masfout,01/03/2023,04:00:00,12.838,,,13.912,,,54.096,,,,,,0.183232,,,,,39.4,,,18.18,,,,19.6,,46.0,63,3.3,,,,,,,2.1551,0.1449,2.2999,,,
Masfout,01/03/2023,05:00:00,13.624,,,23.688,,,57.96,,,,,,0.2061359999999999,,,,,39.48,,,18.4,,,,19.6,,44.0,38,3.2,,,,,,,2.1477,0.1554,2.3033,,,
Masfout,01/03/2023,06:00:00,13.1,,,21.996,,,56.028,,,,,,0.22904,,,,,49.2,,,21.54,,,,19.2,,43.0,42,3.2,,,,,,,2.1619,0.1519,2.3139,,,
Masfout,01/03/2023,07:00:00,13.1,,,21.996,,,61.824,,66.4125,,,,0.22904,,0.1932525,,,88.12,,,33.17,,,,20.5,,38.0,47,3.0,,,,,,,2.1166,0.1445,2.2612,,,
Masfout,01/03/2023,08:00:00,13.886,,,33.84,,,59.892,,62.79,,,,0.217588,,0.1989785,,,75.51,,,28.25,,,,22.7,,34.0,41,3.1,,,,,,,2.1101,0.1573,2.2674,,,
Masfout,01/03/2023,09:00:00,15.72,,,36.096,,,73.416,,62.307,,,,0.22904,,0.2047045,,,63.68,,,25.05,,,,24.8,,31.0,52,2.6,,,,,,,2.1248,0.1558,2.2806,,,
Masfout,01/03/2023,10:00:00,15.458,,,18.612,,,92.736,,64.722,,,,0.2061359999999999,,0.208999,,,45.37,,,18.27,,,,26.2,,25.0,45,2.9,,,,,,,2.1319,0.1542,2.2863,,,
Masfout,01/03/2023,11:00:00,13.886,,,12.596,,,108.192,,70.518,,,,0.2061359999999999,,0.2132934999999999,,,40.45,,,16.53,,,,28.1,,22.0,63,2.7,,,,,,,2.1334,0.141,2.2744,,,
Masfout,01/03/2023,12:00:00,13.1,,,12.032,,,112.056,,77.763,,,,0.217588,,0.217588,,,47.62,,,17.81,,,,28.8,,20.0,63,2.9,,,,,,,2.1149,0.1387,2.2535,,,
Masfout,01/03/2023,13:00:00,15.458,,,17.296,,,121.716,,85.7325,,,,0.2061359999999999,,0.217588,,,91.65,,,29.5,,,,29.2,,20.0,52,2.8,,,,,,,2.1102,0.1329,2.2433,,,
Masfout,01/03/2023,14:00:00,19.388,,,25.004,,,146.832,,97.083,,,,0.2863,,0.2247455,,,56.16,,,22.21,,,,28.5,,27.0,46,2.9,,,,,,,2.1322,0.1581,2.2906,,,
Masfout,01/03/2023,15:00:00,21.484,,,26.32,,,146.832,,107.709,,,,0.251944,,0.2276084999999999,,,44.16,,,18.42,,,,27.5,,30.0,39,3.1,,,,,,,2.1167,0.1464,2.2628,,,
Masfout,01/03/2023,16:00:00,22.270000000000003,,,28.012,,,102.396,,113.022,,,,0.22904,,0.22904,,,35.0,,,15.03,,,,26.7,,32.0,38,3.1,,,,,,,2.0882,0.1405,2.2286,,,
Masfout,01/03/2023,17:00:00,17.03,,,8.836,,,102.396,,116.64449999999998,,,,0.148876,,0.2190194999999999,,,30.36,,,13.0,,,,25.8,,33.0,43,2.9,,,,,,,2.0759,0.1165,2.1923,,,
Masfout,01/03/2023,18:00:00,17.292,,,6.956,,,102.396,,117.85199999999998,,,,0.148876,,0.211862,,,26.77,,,11.62,,,,25.1,,36.0,36,3.0,,,,,,,2.0966,0.1232,2.2198,,,
Masfout,01/03/2023,19:00:00,30.392,,,10.716,,,106.26,,117.61049999999996,,,,0.17178,,0.2075675,,,20.61,,,9.62,,,,23.4,,46.0,45,3.0,,,,,,,2.139,0.1497,2.2889,,,
Masfout,01/03/2023,20:00:00,29.344,,,11.468,,,104.328,,116.64449999999998,,,,0.17178,,0.2018415,,,18.45,,,9.12,,,,23.1,,49.0,29,2.9,,,,,,,2.1522,0.1559,2.308,,,
Masfout,01/03/2023,21:00:00,37.204,,,12.972,,,90.804,,112.78049999999998,,,,0.160328,,0.1961155,,,16.1,,,7.85,,,,23.2,,40.0,25,3.0,,,,,,,2.1316,0.1575,2.2891,,,
Masfout,01/03/2023,22:00:00,37.204,,,15.04,,,85.00799999999998,,105.05249999999998,,,,0.17178,,0.1818005,,,16.86,,,7.94,,,,23.3,,36.0,38,2.8,,,,,,,2.127,0.1576,2.2847,,,
Masfout,01/03/2023,23:00:00,30.392,,,18.236,,,79.212,,96.6,,,,0.160328,,0.1703485,,,15.98,,,7.69,,,,23.3,,35.0,38,2.7,,,,,,,2.1213,0.1428,2.2641,,,
Masfout,02/03/2023,00:00:00,20.960000000000004,,,10.528,,,83.076,,94.185,,,,0.148876,,0.160328,,,21.44,,,10.55,,,,22.7,,50.0,35,2.0,,,,,,,2.0991,0.1235,2.2226,,,
Masfout,02/03/2023,01:00:00,18.078,,,13.724,,,75.348,,90.804,,,,0.17178,,0.163191,,,29.02,,,14.28,,,,22.6,,57.0,66,2.0,,,,,,,2.0919,0.1262,2.218,,,
Masfout,02/03/2023,02:00:00,16.768,,,14.663999999999998,,,67.62,,86.45699999999998,,,,0.217588,,0.17178,,,42.43,,,21.39,,,,22.3,,65.0,65,1.9,,,,,,,2.1309,0.1404,2.271,,,
Masfout,02/03/2023,03:00:00,16.768,,,12.22,,,67.62,,81.627,,,,0.2061359999999999,,0.1760744999999999,,,30.22,,,15.14,,,,22.1,,59.0,64,2.3,,,,,,,2.1298,0.1382,2.268,,,
Masfout,02/03/2023,04:00:00,15.982000000000005,,,9.024,,,69.55199999999999,,77.28000000000002,,,,0.194684,,0.1789375,,,31.04,,,15.64,,,,22.0,,61.0,50,2.8,,,,,,,2.1147,0.1364,2.2511,,,
Masfout,02/03/2023,05:00:00,17.292,,,18.8,,,56.028,,72.93299999999999,,,,0.22904,,0.1875264999999999,,,34.38,,,17.45,,,,21.7,,65.0,65,2.3,,,,,,,2.1284,0.1501,2.2785,,,
Masfout,02/03/2023,06:00:00,15.196,,,14.287999999999998,,,52.164,,68.8275,,,,0.274848,,0.2004099999999999,,,35.83,,,17.25,,,,20.8,,63.0,42,2.4,,,,,,,2.152,0.1543,2.3062,,,
Masfout,02/03/2023,07:00:00,17.292,,,47.752,,,25.116,,62.0655,,,,0.297752,,0.217588,,,36.55,,,15.76,,,,21.1,,54.0,35,2.4,,,,,,,2.1522,0.2039,2.3561,,,
Masfout,02/03/2023,08:00:00,22.008,,,28.764,,,46.368,,57.477,,,,0.22904,,0.2276085,,,33.16,,,14.11,,,,23.6,,45.0,30,2.5,,,,,,,2.1479,0.178,2.3259,,,
Masfout,02/03/2023,09:00:00,23.318,,,15.791999999999996,,,71.484,,56.99399999999999,,,,0.217588,,0.2333345,,,28.39,,,12.89,,,,25.9,,45.0,27,2.4,,,,,,,2.1213,0.1489,2.2703,,,
Masfout,02/03/2023,10:00:00,20.174,,,9.4,,,98.532,,60.85799999999999,,,,0.183232,,0.22904,,,26.63,,,12.6,,,,26.3,,43.0,34,2.3,,,,,,,2.1028,0.129,2.2318,,,
Masfout,02/03/2023,11:00:00,16.768,,,7.895999999999998,,,108.192,,65.92949999999999,,,,0.183232,,0.226177,,,28.56,,,13.4,,,,26.6,,40.0,31,2.5,,,,,,,2.094,0.1196,2.2136,,,
Masfout,02/03/2023,12:00:00,17.816,,,8.084,,,113.988,,71.484,,,,0.17178,,0.223314,,,26.71,,,12.66,,,,27.2,,36.0,49,2.1,,,,,,,2.0848,0.149,2.2338,,,
Masfout,02/03/2023,13:00:00,19.65,,,9.775999999999998,,,123.648,,79.9365,,,,0.217588,,0.2218825,,,33.47,,,15.44,,,,27.3,,43.0,31,2.5,,,,,,,2.0937,0.1324,2.2261,,,
Masfout,02/03/2023,14:00:00,17.03,,,9.024,,,125.58,,89.1135,,,,0.194684,,0.211862,,,33.95,,,16.13,,,,26.0,,52.0,28,2.6,,,,,,,2.0847,0.1225,2.2072,,,
Masfout,02/03/2023,15:00:00,15.72,,,9.212,,,110.124,,99.7395,,,,0.183232,,0.197547,,,33.27,,,16.23,,,,25.3,,58.0,32,2.1,,,,,,,2.0773,0.1062,2.1834,,,
Masfout,02/03/2023,16:00:00,13.1,,,6.956,,,100.464,,106.5015,,,,0.160328,,0.188958,,,32.72,,,16.17,,,,25.1,,60.0,30,2.0,,,,,,,2.0712,0.091,2.162,,,
Masfout,02/03/2023,17:00:00,12.838,,,6.768,,,92.736,,109.158,,,,0.160328,,0.1818005,,,36.63,,,18.31,,,,24.0,,66.0,52,1.6,,,,,,,2.0657,0.0935,2.1591,,,
Masfout,02/03/2023,18:00:00,13.362000000000002,,,5.263999999999999,,,92.736,,108.43349999999998,,,,0.160328,,0.1789375,,,40.54,,,20.45,,,,22.5,,70.0,63,1.5,,,,,,,2.0728,0.0958,2.1686,,,
Masfout,02/03/2023,19:00:00,13.624,,,7.143999999999999,,,96.6,,106.98449999999998,,,,0.148876,,0.174643,,,29.62,,,15.02,,,,21.7,,63.0,30,2.1,,,,,,,2.0823,0.0987,2.1808,,,
Masfout,02/03/2023,20:00:00,12.576,,,9.212,,,86.93999999999998,,103.6035,,,,0.160328,,0.1732115,,,27.08,,,13.63,,,,20.8,,62.0,37,2.2,,,,,,,2.0826,0.1039,2.1866,,,
Masfout,02/03/2023,21:00:00,12.576,,,11.092,,,81.144,,98.2905,,,,0.160328,,0.166054,,,32.72,,,16.62,,,,20.6,,67.0,46,1.9,,,,,,,2.0775,0.1037,2.1814,,,
Masfout,02/03/2023,22:00:00,13.1,,,12.22,,,81.144,,92.736,,,,0.160328,,0.1617595,,,36.92,,,18.78,,,,20.4,,70.0,43,2.0,,,,,,,2.0854,0.1019,2.1872,,,
Masfout,02/03/2023,23:00:00,13.1,,,9.4,,,83.076,,89.355,,,,0.160328,,0.1588965,,,37.27,,,19.18,,,,20.3,,70.0,43,2.1,,,,,,,2.0937,0.1021,2.1959,,,
Masfout,03/03/2023,00:00:00,12.576,,,9.775999999999998,,,81.144,,86.94,,,,0.160328,,0.1588965,,,43.01,,,22.22,,,,20.3,,73.0,20,2.2,,,,,,,2.0848,0.097,2.182,,,
Masfout,03/03/2023,01:00:00,12.838,,,6.58,,,81.144,,85.491,,,,0.148876,,0.157465,,,45.24,,,23.42,,,,19.8,,77.0,25,2.2,,,,,,,2.0788,0.0964,2.1752,,,
Masfout,03/03/2023,02:00:00,13.1,,,6.016,,,81.144,,84.042,,,,0.137424,,0.154602,,,47.53,,,24.56,,,,19.5,,79.0,29,1.8,,,,,,,2.0864,0.0958,2.1818,,,
Masfout,03/03/2023,03:00:00,12.576,,,6.768,,,75.348,,81.3855,,,,0.148876,,0.154602,,,55.75,,,28.71,,,,19.4,,81.0,33,1.5,,,,,,,2.0879,0.0982,2.1861,,,
Masfout,03/03/2023,04:00:00,12.576,,,6.956,,,71.484,,79.4535,,,,0.160328,,0.154602,,,64.82,,,33.56,,,,19.2,,83.0,22,2.0,,,,,,,2.0988,0.1079,2.2066,,,
Masfout,03/03/2023,05:00:00,12.838,,,6.58,,,79.212,,79.212,,,,0.160328,,0.154602,,,73.8,,,38.37,,,,19.4,,84.0,25,1.9,,,,,,,2.0973,0.112,2.2094,,,
Masfout,03/03/2023,06:00:00,12.838,,,11.656,,,71.484,,78.00450000000001,,,,0.194684,,0.1588965,,,76.54,,,39.7,,,,19.5,,82.0,20,2.0,,,,,,,2.1135,0.1206,2.2341,,,
Masfout,03/03/2023,07:00:00,12.576,,,14.476,,,63.75600000000001,,75.5895,,,,0.251944,,0.1703485,,,75.28,,,38.96,,,,20.0,,83.0,31,1.8,,,,,,,2.108,0.1409,2.2489,,,
Masfout,03/03/2023,08:00:00,12.576,,,9.4,,,79.212,,75.348,,,,0.194684,,0.174643,,,51.77,,,26.73,,,,21.1,,80.0,17,1.7,,,,,,,2.0981,0.1241,2.2223,,,
Masfout,03/03/2023,09:00:00,13.886,,,8.648,,,94.668,,77.0385,,,,0.183232,,0.1789375,,,37.3,,,18.89,,,,22.9,,68.0,19,1.5,,,,,,,2.1015,0.1173,2.2188,,,
Masfout,03/03/2023,10:00:00,15.196,,,8.272,,,102.396,,79.695,,,,0.183232,,0.1846635,,,34.9,,,17.59,,,,24.1,,63.0,22,1.2,,,,,,,2.1045,0.1273,2.2318,,,
Masfout,03/03/2023,11:00:00,13.624,,,8.648,,,112.056,,84.2835,,,,0.183232,,0.188958,,,36.45,,,17.76,,,,25.3,,58.0,57,1.0,,,,,,,2.0992,0.1096,2.2087,,,
Masfout,03/03/2023,12:00:00,13.624,,,7.52,,,119.784,,90.321,,,,0.194684,,0.1932525,,,33.84,,,16.75,,,,26.2,,54.0,86,1.0,,,,,,,2.0951,0.1174,2.2124,,,
Masfout,03/03/2023,13:00:00,14.409999999999998,,,5.64,,,108.192,,93.9435,,,,0.160328,,0.1932525,,,31.77,,,15.67,,,,26.4,,57.0,80,1.1,,,,,,,2.0832,0.1084,2.1916,,,
Masfout,03/03/2023,14:00:00,14.148,,,4.887999999999999,,,100.464,,97.566,,,,0.148876,,0.1875265,,,30.49,,,15.18,,,,26.0,,59.0,82,1.1,,,,,,,2.0824,0.0935,2.176,,,
Masfout,03/03/2023,15:00:00,14.148,,,4.7,,,92.736,,101.1885,,,,0.125972,,0.17178,,,28.75,,,14.34,,,,25.3,,63.0,73,0.9,,,,,,,2.076,0.0868,2.163,,,
Masfout,03/03/2023,16:00:00,12.838,,,3.76,,,88.87199999999999,,102.396,,,,0.137424,,0.1646225,,,29.08,,,14.6,,,,24.3,,68.0,47,1.4,,,,,,,2.0681,0.0831,2.1512,,,
Masfout,03/03/2023,17:00:00,12.576,,,4.887999999999999,,,88.87199999999999,,101.6715,,,,0.137424,,0.1588965,,,31.31,,,15.77,,,,23.4,,71.0,44,1.2,,,,,,,2.0602,0.0881,2.1484,,,
Masfout,03/03/2023,18:00:00,12.838,,,7.52,,,90.804,,100.22249999999998,,,,0.137424,,0.1531705,,,34.43,,,17.55,,,,22.6,,74.0,48,1.2,,,,,,,2.0666,0.0908,2.1572,,,
Masfout,03/03/2023,19:00:00,13.1,,,6.956,,,92.736,,97.8075,,,,0.125972,,0.146013,,,36.27,,,18.64,,,,22.4,,75.0,56,1.2,,,,,,,2.0719,0.0879,2.1599,,,
Masfout,03/03/2023,20:00:00,12.576,,,5.451999999999999,,,86.93999999999998,,93.70199999999998,,,,0.137424,,0.1388555,,,40.24,,,20.82,,,,22.2,,78.0,43,1.4,,,,,,,2.0673,0.0864,2.1535,,,
Masfout,03/03/2023,21:00:00,12.576,,,8.836,,,85.00799999999998,,90.80399999999996,,,,0.148876,,0.137424,,,50.35,,,26.21,,,,21.8,,80.0,55,1.0,,,,,,,2.0714,0.0977,2.1687,,,
Masfout,03/03/2023,22:00:00,12.838,,,8.459999999999999,,,83.076,,88.63049999999998,,,,0.148876,,0.137424,,,61.68,,,32.24,,,,21.6,,81.0,124,0.8,,,,,,,2.0914,0.1052,2.1963,,,
Masfout,03/03/2023,23:00:00,13.1,,,8.272,,,79.212,,86.94,,,,0.17178,,0.14315,,,72.81,,,38.07,,,,21.4,,82.0,136,0.6,,,,,,,2.1008,0.1383,2.2389,,,
Masfout,04/03/2023,00:00:00,12.314,,,6.392,,,83.076,,86.21549999999999,,,,0.17178,,0.1474445,,,60.43,,,31.53,,,,21.3,,80.0,253,0.4,,,,,,,2.095,0.1343,2.2293,,,
Masfout,04/03/2023,01:00:00,12.576,,,5.451999999999999,,,81.144,,85.2495,,,,0.160328,,0.1503075,,,67.44,,,35.38,,,,21.1,,80.0,160,0.5,,,,,,,2.0964,0.148,2.2445,,,
Masfout,04/03/2023,02:00:00,12.838,,,6.58,,,75.348,,83.3175,,,,0.17178,,0.154602,,,79.21,,,41.73,,,,20.8,,81.0,174,0.6,,,,,,,2.1161,0.1595,2.2757,,,
Masfout,04/03/2023,03:00:00,12.314,,,7.143999999999999,,,69.55199999999999,,80.4195,,,,0.183232,,0.1617595,,,93.84,,,49.54,,,,20.4,,83.0,79,1.1,,,,,,,2.1167,0.1484,2.2651,,,
Masfout,04/03/2023,04:00:00,12.314,,,7.143999999999999,,,69.55199999999999,,78.246,,,,0.17178,,0.166054,,,105.47,,,55.66,,,,20.5,,84.0,32,1.2,,,,,,,2.1065,0.1453,2.2517,,,
Masfout,04/03/2023,05:00:00,12.576,,,6.016,,,73.416,,76.797,,,,0.17178,,0.168917,,,106.37,,,56.29,,,,20.4,,84.0,33,1.1,,,,,,,2.1097,0.1389,2.2486,,,
Masfout,04/03/2023,06:00:00,12.576,,,6.392,,,83.076,,76.797,,,,0.160328,,0.1703485,,,85.44,,,45.0,,,,20.5,,83.0,23,1.2,,,,,,,2.0989,0.1104,2.2091,,,
Masfout,04/03/2023,07:00:00,12.314,,,7.52,,,77.28,,76.5555,,,,0.183232,,0.17178,,,101.79,,,53.53,,,,20.7,,83.0,24,1.1,,,,,,,2.0939,0.1136,2.2077,,,
Masfout,04/03/2023,08:00:00,12.314,,,6.016,,,85.00799999999998,,76.797,,,,0.17178,,0.17178,,,59.28,,,30.74,,,,21.5,,78.0,42,1.0,,,,,,,2.0897,0.1077,2.1973,,,
Masfout,04/03/2023,09:00:00,13.362000000000002,,,6.956,,,92.736,,78.246,,,,0.17178,,0.1732115,,,48.05,,,24.64,,,,23.3,,69.0,57,0.9,,,,,,,2.117,0.1153,2.2323,,,
Masfout,04/03/2023,10:00:00,16.768,,,7.708,,,102.396,,81.627,,,,0.183232,,0.174643,,,43.23,,,22.05,,,,24.9,,62.0,69,0.5,,,,,,,2.1732,0.1219,2.295,,,
Masfout,04/03/2023,11:00:00,15.196,,,6.204,,,112.056,,86.94,,,,0.194684,,0.1760745,,,36.9,,,18.69,,,,26.7,,52.0,56,0.7,,,,,,,2.1449,0.1199,2.2647,,,
Masfout,04/03/2023,12:00:00,14.934,,,6.768,,,117.852,,92.9775,,,,0.2061359999999999,,0.180369,,,38.35,,,16.55,,,,28.9,,38.0,29,1.0,,,,,,,2.1237,0.1275,2.2511,,,
Masfout,04/03/2023,13:00:00,14.148,,,9.775999999999998,,,131.376,,100.2225,,,,0.2061359999999999,,0.1846634999999999,,,131.9,,,42.08,,,,30.1,,29.0,37,0.9,,,,,,,2.122,0.133,2.2551,,,
Masfout,04/03/2023,14:00:00,14.672,,,6.392,,,123.648,,105.294,,,,0.17178,,0.186095,,,44.64,,,17.3,,,,30.5,,27.0,44,1.2,,,,,,,2.1442,0.1256,2.2697,,,
Masfout,04/03/2023,15:00:00,14.672,,,5.64,,,110.124,,109.3995,,,,0.148876,,0.1818005,,,29.76,,,14.09,,,,28.3,,48.0,38,1.5,,,,,,,2.1982,0.1067,2.3049,,,
Masfout,04/03/2023,16:00:00,12.576,,,5.076,,,100.464,,111.3315,,,,0.160328,,0.180369,,,29.71,,,14.38,,,,26.7,,56.0,65,1.4,,,,,,,2.1003,0.094,2.1945,,,
Masfout,04/03/2023,17:00:00,13.624,,,6.956,,,117.852,,114.471,,,,0.160328,,0.1789375,,,26.62,,,12.44,,,,27.0,,41.0,51,1.4,,,,,,,2.0928,0.1172,2.21,,,
Masfout,04/03/2023,18:00:00,13.886,,,21.808,,,185.472,,124.8555,,,,0.274848,,0.1903895,,,52.55,,,24.65,,,,25.6,,52.0,86,1.5,,,,,,,2.1522,0.1576,2.3099,,,
Masfout,04/03/2023,19:00:00,13.624,,,23.688,,,170.01599999999996,,132.10049999999998,,,,0.274848,,0.20041,,,60.11,,,28.76,,,,24.0,,61.0,89,1.5,,,,,,,2.2017,0.1654,2.3671,,,
Masfout,04/03/2023,20:00:00,12.576,,,22.372,,,158.424,,137.172,,,,0.2863,,0.2104305,,,64.61,,,30.99,,,,23.2,,65.0,70,1.6,,,,,,,2.1523,0.1696,2.3219,,,
Masfout,04/03/2023,21:00:00,12.314,,,22.372,,,142.968,,138.62099999999998,,,,0.263396,,0.217588,,,67.1,,,32.66,,,,22.4,,69.0,100,1.6,,,,,,,2.143,0.2029,2.3458,,,
Masfout,04/03/2023,22:00:00,13.1,,,20.116,,,125.58,,138.86249999999998,,,,0.2863,,0.231903,,,71.07,,,34.34,,,,21.5,,71.0,44,1.9,,,,,,,2.1527,0.211,2.3635,,,
