Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
EmiratesHills,01/08/2023,01:00:00,3.406,,,33.276,,,57.2904,,,,,,0.30915,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,01:59:59.990000,3.406,,,27.072,,,71.41680000000001,,,,,,0.2977,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,02:59:59.985000,3.93,,,28.576,,,66.9042,,,,,,0.28625,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,03:59:59.980000,3.93,,,39.48,,,46.695600000000006,,,,,,0.30915,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,04:59:59.975000,3.668,,,27.072,,,56.7018,,,,,,0.3320499999999999,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,05:59:59.970000,3.668,,,44.744,,,42.5754,,,,,,0.4122,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,06:59:59.965000,3.406,,,68.244,,,30.2148,,,,,,0.458,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,07:59:59.960000,2.882,,,85.53999999999999,,,36.1008,,,,,,0.58395,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,08:59:59.955000,2.096,,,47.564,,,95.9418,,,,,,0.4351,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,09:59:59.950000,2.096,,,11.28,,,140.4792,,,,,,0.2977,,,,,149.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,10:59:59.945000,2.882,,,11.092,,,163.23839999999998,,,,,,0.28625,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,11:59:59.940000,3.144,,,7.896,,,160.884,,,,,,0.2977,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,12:59:59.935000,2.882,,,6.58,,,156.96,,,,,,0.2748,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,13:59:59.930000,3.144,,,6.58,,,147.3462,,,,,,0.26335,,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,14:59:59.925000,3.144,,,7.896,,,162.2574,,,,,,0.28625,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,15:59:59.920000,2.882,,,8.836,,,167.1624,,,,,,0.26335,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,16:59:59.915000,2.62,,,6.58,,,157.5486,,,,,,0.24045,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,17:59:59.910000,2.882,,,8.836,,,153.6246,,,,,,0.26335,,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,18:59:59.905000,3.406,,,14.664,,,145.3842,,,,,,0.2748,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,19:59:59.900000,3.144,,,17.86,,,126.9414,,,,,,0.35495,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,20:59:59.895000,3.144,,,23.5,,,104.967,,,,,,0.4351,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,21:59:59.890000,3.144,,,27.636,,,88.6824,,,,,,0.5038,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,22:59:59.885000,3.406,,,31.396,,,73.3788,,,,,,0.5954,,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,01/08/2023,23:59:59.880000,,,,42.864,,,49.05,,,,,,0.62975,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,00:59:59.875000,3.406,,,34.216,,,60.822,,,,,,0.5267000000000001,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,01:59:59.870000,3.406,,,37.6,,,50.4234,,,,,,0.53815,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,02:59:59.865000,3.668,,,38.164,,,38.259,,,,,,0.51525,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,03:59:59.860000,3.668,,,43.804,,,30.999600000000004,,,,,,0.53815,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,04:59:59.855000,3.668,,,52.076,,,20.601000000000003,,,,,,0.6412000000000001,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,05:59:59.850000,3.93,,,53.204,,,25.8984,,,,,,0.53815,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,06:59:59.845000,4.192,,,69.184,,,24.1326,,,,,,0.5954,,,,,127.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,07:59:59.840000,2.62,,,55.46,,,48.4614,,,,,,0.5038,,,,,158.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,08:59:59.835000,2.358,,,48.88,,,67.10040000000001,,,,,,0.4351,,,,,177.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,09:59:59.830000,3.93,,,80.088,,,72.7902,,,,,,0.5954,,,,,178.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,10:59:59.825000,3.668,,,36.66,,,172.85219999999998,,,,,,0.51525,,,,,173.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,11:59:59.820000,3.406,,,15.604,,,185.9976,,,,,,0.3434999999999999,,,,,145.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,12:59:59.815000,3.406,,,10.716,,,187.7634,,,,,,0.28625,,,,,132.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,13:59:59.810000,3.144,,,9.588,,,178.7382,,,,,,0.2977,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,14:59:59.805000,3.406,,,10.34,,,168.732,,,,,,0.2748,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,15:59:59.800000,3.406,,,13.16,,,160.09920000000002,,,,,,0.2519,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,16:59:59.795000,2.882,,,12.784,,,160.09920000000002,,,,,,0.229,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,17:59:59.790000,3.144,,,16.544,,,140.0868,,,,,,0.2519,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,18:59:59.785000,3.406,,,22.372,,,134.20080000000002,,,,,,0.30915,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,19:59:59.780000,3.668,,,25.38,,,124.7832,,,,,,0.3893,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,20:59:59.775000,3.668,,,42.488,,,82.9926,,,,,,0.51525,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,21:59:59.770000,2.62,,,37.224,,,73.575,,,,,,0.37785,,,,,133.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,22:59:59.765000,3.406,,,32.524,,,72.00540000000001,,,,,,0.3206,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,02/08/2023,23:59:59.760000,3.406,,,23.688,,,85.1508,,,,,,0.28625,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,00:59:59.755000,3.144,,,12.22,,,99.6696,,,,,,0.19465,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,01:59:59.750000,3.668,,,10.152,,,87.8976,,,,,,0.14885,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,02:59:59.745000,3.93,,,12.784,,,69.4548,,,,,,0.14885,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,03:59:59.740000,3.406,,,22.748,,,56.1132,,,,,,0.19465,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,04:59:59.735000,3.93,,,51.324000000000005,,,23.347800000000003,,,,,,0.2748,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,05:59:59.730000,3.93,,,59.972,,,12.753,,,,,,0.3434999999999999,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,06:59:59.725000,3.93,,,49.82,,,26.6832,,,,,,0.3893,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,07:59:59.720000,3.144,,,55.648,,,18.8352,,,,,,0.4351,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,
EmiratesHills,03/08/2023,08:59:59.715000,2.882,,,37.6,,,43.5564,,,,,,0.30915,,,,,178.0,,,,,,,,,,,,,,,,,,,,,,,
