Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,WD,WS
MUSHAIRIF,01/05/2017,01:00:00,8.03,,,197.04,238.46,41.42,,,3.16,,,,,,1.65,,,,,139.0,,,52.8,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,02:00:00,10.54,,,176.96,237.25,60.29,,,2.83,,,,,,1.48,,,,,152.0,,,54.9,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,03:00:00,12.15,,,160.6,202.66,42.06,,,8.53,,,,,,1.14,,,,,173.0,,,61.9,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,04:00:00,10.53,,,132.46,136.4,3.94,,,19.77,,,,,,0.89,,,,,175.0,,,56.6,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,05:00:00,10.98,,,121.43,125.5,4.07,,,14.59,,,,,,0.71,,,,,156.0,,,52.7,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,06:00:00,10.97,,,128.61,140.85000000000002,12.24,,,8.17,,,,,,0.87,,,,,134.0,,,47.4,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,07:00:00,11.55,,,133.85,198.1,64.25,,,7.04,,,,,,0.97,,,,,115.0,,,43.4,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,08:00:00,11.71,,,130.02,196.03000000000003,66.01,,,8.12,,,,,,1.1,,,,,100.0,,,39.3,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,09:00:00,12.36,,,128.78,285.96000000000004,157.18,,,7.35,,,,,,1.45,,,,,99.0,,,47.9,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,10:00:00,11.12,,,135.63,215.54,79.91,,,7.07,,,,,,1.26,,,,,121.0,,,71.6,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,11:00:00,7.23,,,140.68,191.66,50.98,,,11.19,,,,,,1.27,,,,,144.0,,,74.5,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,12:00:00,6.47,,,111.04,133.99,22.95,,,18.75,,,,,,0.66,,,,,159.0,,,63.3,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,13:00:00,6.15,,,57.6,62.59,4.99,,,57.41,,,,,,0.72,,,,,148.0,,,46.1,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,14:00:00,6.89,,,23.69,27.82,4.13,,,69.8,,,,,,1.02,,,,,152.0,,,40.4,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,15:00:00,6.43,,,22.16,25.72,3.56,,,75.13,,,,,,1.15,,,,,167.0,,,49.2,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,16:00:00,6.32,,,32.99,36.85,3.86,,,66.96,,,,,,0.76,,,,,153.0,,,54.1,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,17:00:00,6.46,,,59.74,65.21000000000001,5.47,,,43.97,,,,,,0.73,,,,,137.0,,,50.3,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,18:00:00,5.8,,,77.85,82.36,4.51,,,40.84,,,,,,0.51,,,,,137.0,,,43.4,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,19:00:00,6.29,,,111.81,127.76,15.95,,,29.27,,,,,,0.85,,,,,156.0,,,47.5,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,20:00:00,7.14,,,139.73,159.47,19.74,,,15.12,,,,,,1.1,,,,,169.0,,,57.7,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,21:00:00,6.65,,,155.73,214.85,59.12,,,9.37,,,,,,1.67,,,,,200.0,,,65.1,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,22:00:00,4.26,,,137.13,171.32999999999998,34.2,,,10.01,,,,,,1.37,,,,,228.0,,,69.5,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,23:00:00,4.04,,,115.15,123.88,8.73,,,11.58,,,,,,1.16,,,,,220.0,,,63.0,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2017,23:59:59,4.7,,,133.79,169.07,35.28,,,5.38,,,,,,1.79,,,,,215.0,,,64.7,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,01:00:00,6.37,,,145.43,225.932,80.50200000000001,,,4.83,,,,,,2.13,,,,,232.0,,,72.2,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,02:00:00,6.22,,,124.42,174.63,50.21000000000001,,,4.6,,,,,,1.72,,,,,235.0,,,76.1,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,03:00:00,6.68,,,123.07,179.24599999999998,56.176,,,4.44,,,,,,1.57,,,,,257.0,,,87.1,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,04:00:00,6.24,,,127.16,186.162,59.002,,,4.26,,,,,,1.43,,,,,257.0,,,94.4,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,05:00:00,6.63,,,121.25,186.738,65.488,,,4.28,,,,,,1.31,,,,,235.0,,,87.6,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,06:00:00,8.28,,,129.58,211.56,81.98,,,5.06,,,,,,1.22,,,,,220.0,,,78.8,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,07:00:00,8.25,,,137.09,217.512,80.42200000000001,,,6.62,,,,,,1.26,,,,,226.0,,,80.6,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,08:00:00,7.99,,,119.2,188.666,69.466,,,13.59,,,,,,1.37,,,,,249.0,,,84.2,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,09:00:00,6.73,,,116.96,136.15,19.19,,,10.65,,,,,,1.1,,,,,288.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,10:00:00,6.05,,,136.67,143.516,6.846,,,10.77,,,,,,0.94,,,,,266.0,,,78.4,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,11:00:00,5.88,,,125.77,132.10399999999998,6.3340000000000005,,,16.25,,,,,,1.0,,,,,219.0,,,71.8,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,12:00:00,5.92,,,101.38,106.052,4.672,,,30.51,,,,,,1.05,,,,,207.0,,,68.9,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,13:00:00,5.38,,,85.54,94.07,8.53,,,58.72,,,,,,0.94,,,,,212.0,,,62.4,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,14:00:00,5.17,,,67.31,74.36,7.05,,,62.22,,,,,,0.92,,,,,191.0,,,62.6,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,15:00:00,4.58,,,64.0,69.9,5.9,,,59.38,,,,,,0.93,,,,,191.0,,,66.9,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,16:00:00,4.32,,,47.64,52.34,4.7,,,68.03,,,,,,0.78,,,,,187.0,,,65.6,,,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,02/05/2017,17:00:00,4.51,,,37.81,41.22,3.41,,,62.49,,,,,,0.93,,,,,181.0,,,72.7,,,,,,,,,,,,,,,,,,,,,,
