Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,NOX,NO,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.
MUSHAIRIF,01/05/2023,01:00:00,6.76,,,113.14,145.56,32.42,,,18.38,,,,,,0.95,,,,,115.0,,,33.6555,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,02:00:00,8.11,,,94.07,108.82,14.75,,,28.95,,,,,,0.81,,,,,128.0,,,44.2092,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,03:00:00,6.88,,,82.63,89.00999999999999,6.38,,,40.78,,,,,,0.46,,,,,138.0,,,39.4725,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,04:00:00,8.89,,,73.11,80.63,7.52,,,54.38,,,,,,0.48,,,,,147.0,,,48.0318,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,05:00:00,6.63,,,64.58,79.12,14.54,,,66.71,,,,,,0.31,,,,,142.0,,,45.8712,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,06:00:00,5.16,,,60.76,76.00999999999999,15.25,,,66.46,,,,,,0.17,,,,,134.0,,,37.25133,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,07:00:00,6.44,,,66.86,90.11,23.25,,,49.34,,,,,,0.19,,,,,124.0,,,47.0346,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,08:00:00,7.92,,,78.05,116.55,38.5,,,34.49,,,,,,0.18,,,,,159.0,,,59.9982,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,09:00:00,7.49,,,67.12,111.87,44.75,,,36.25,,,,,,0.38,,,,,202.0,,,72.9618,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,10:00:00,7.55,,,33.31,65.56,32.25,,,50.85,,,,,,0.34,,,,,237.0,,,78.77879999999999,,,,,,,,,,,,,,,,,,,,
MUSHAIRIF,01/05/2023,11:00:00,6.73,,,23.03,36.78,13.75,,,65.7,,,,,,0.22,,,,,237.0,,,74.9562,,,,,,,,,,,,,,,,,,,,
