Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,NAN
EPAA MOBILE,01/09/2023,00:00:00,5.84,,,11.02,,,35.81,,,,,,1.391,,,,,86.3,,,,,,,38.439,1007.8,46.23,297.01,1.26,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,01:00:00,5.38,,,10.75,,,41.03,,,,,,0.768,,,,,84.3,,,,,,,38.32,1007.7,49.28,304.34,1.586,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,01:59:59.990000,4.66,,,9.9,,,38.28,,,,,,0.737,,,,,101.1,,,,,,,37.99,1007.5,55.07,13.87,0.779,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,02:59:59.985000,13.44,,,20.28,,,2.96,,,,,,1.312,,,,,75.2,,,,,,,37.719,1007.4,54.66,86.93,1.195,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,03:59:59.980000,13.61,,,20.21,,,2.74,,,,,,1.72,,,,,98.5,,,,,,,37.72,1007.4,55.3,100.96,0.694,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,04:59:59.975000,11.55,,,18.5,,,2.83,,,,,,1.87,,,,,101.5,,,,,,,37.636,1007.6,57.44,136.7,0.904,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,05:59:59.970000,13.18,,,17.73,,,3.0,,,,,,1.115,,,,,99.1,,,,,,,37.538,1007.9,59.83,113.62,1.177,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,06:59:59.965000,12.74,,,19.68,,,3.51,,,,,,0.725,,,,,102.0,,,,,,,37.512,1008.2,59.84,157.42,1.27,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,07:59:59.960000,9.91,,,16.26,,,9.12,,,,,,0.533,,,,,99.2,,,,,,,37.861,1008.4,56.4,156.79,1.296,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,08:59:59.955000,5.66,,,14.69,,,18.69,,,,,,1.107,,,,,140.1,,,,,,,38.733,1008.6,53.51,83.08,1.156,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,09:59:59.950000,4.19,,,13.33,,,34.14,,,,,,0.969,,,,,144.4,,,,,,,39.054,1008.7,51.28,125.67,1.015,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,10:59:59.945000,5.74,,,13.05,,,65.26,,,,,,0.315,,,,,126.8,,,,,,,39.203,1008.6,51.98,276.98,1.03,,,,,,,,,,,,,
EPAA MOBILE,01/09/2023,11:59:59.940000,3.67,,,7.8,,,100.45,,,,,,0.404,,,,,132.6,,,,,,,39.212,1008.3,53.66,291.9,1.725,,,,,,,,,,,,,
