Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,Unnamed: 44
AL Maqtaa,01/01/2023,00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL Maqtaa,01/01/2023,01:00:00,5.55,,,48.97,,,,,,,,,,,,,,32.8,,,9.093376999999998,,,,,,,,,,2.8921005637999992,0.7470370459999999,1.4727301763999996,2.7000053234,1.2699629781999997,,,,,,,
AL Maqtaa,01/01/2023,01:59:59.990000,5.78,,,45.18,,,,,,,,,,,,,,33.3,,,9.932553999999998,,,,,,,,,,2.4358753735,0.6415091632499998,1.2365321552500002,2.305714094,1.0598847044999995,,,,,,,
AL Maqtaa,01/01/2023,02:59:59.985000,5.3,,,53.01,,,,,,,,,,,,,,38.9,,,9.588629,,,,,,,,,,2.5719418298,0.7256931303999999,1.3126508093999998,2.6253016188,1.120555569,,,,,,,
AL Maqtaa,01/01/2023,03:59:59.980000,5.89,,,57.54,,,,,,,,,,,,,,30.8,,,6.906014,,,,,,,,,,2.2127417515,0.6508063974999999,1.1342625785,2.380091968,0.95761512775,,,,,,,
AL Maqtaa,01/01/2023,04:59:59.975000,6.01,,,63.85,,,,,,,,,,,,,,19.4,,,4.374726,,,,,,,,,,2.934788395,0.8324127083999998,1.5047460497999996,3.0415079729999994,1.2913068938,,,,,,,
AL Maqtaa,01/01/2023,05:59:59.970000,7.72,,,58.8,,,,,0.0,,,,,,0.0,,,12.4,,,3.893231,,,,,,,,,,2.863548149,0.7623732084999999,1.4689630115,2.74268410375,1.264423858,,,,,,,
AL Maqtaa,01/01/2023,06:59:59.965000,8.69,,,64.11,,,,0.0,,,,,,0.0,,,,15.9,,,5.076333,,,,,,,,,,3.26332922175,0.818156614,1.7013938677499998,2.97511496,1.450368543,,,,,,,
AL Maqtaa,01/01/2023,07:59:59.960000,6.97,,,74.71,,,,0.0,,,,,,0.0,,,,21.0,,,6.60336,,,,,,,,,,3.8312328501999993,1.0031640331999998,2.0170000241999992,3.6071217364,1.6968412902,,,,,,,
AL Maqtaa,01/01/2023,08:59:59.955000,5.59,,,73.19,,,,0.0,,,,,,0.0,,,,27.0,,,8.997078,,,,,,,,,,2.70549516675,0.7995621454999999,1.44107130875,2.8821426175,1.190045984,,,,,,,
