Station Name,Date,Time,SO2,Data Cap. (SO2),SO2 Avg,NO2,Data Cap. (NO2),NO2 Avg,O3,Data Cap. (O3),O3 8H Avg.,Daily Capture O3,O3 Daily Average,O3 Daily Average (NS),CO,Data Cap. (CO),CO 8H Avg.,Daily Capture CO,CO Daily Average,PM10,Data Cap. (PM10),PM10 Avg,PM2.5,Data Cap. (PM2.5),PM2.5 Avg,Lower Ambient Temperature,Upper Ambient Temperature,Barometric Pressure,Relative Humidity,Wind Direction,Wind Speed,H2S,Toluene,O-Xylene,Ethylbenzene,MP-Xylene,Benzene,CH4,NMHC,THC,Noise,Solar Radiation,Atm P.,NAN
EPAA MOBILE,01/01/2023,00:00:00,5.66,,,34.19,,,0.63,,,,,,2.365,,,,,91.1,,,,,,,21.33,1018.5,71.47,309.0,0.404,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,01:00:00,4.7,,,33.99,,,0.4,,,,,,2.266,,,,,82.0,,,,,,,21.117,1018.3,74.01,235.02,1.004,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,01:59:59.990000,3.37,,,33.54,,,0.13,,,,,,2.015,,,,,80.2,,,,,,,21.036,1018.2,73.94,211.55,1.149,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,02:59:59.985000,6.1,,,34.51,,,0.11,,,,,,1.723,,,,,64.3,,,,,,,20.98,1018.0,73.17,206.31,1.069,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,03:59:59.980000,9.61,,,31.45,,,0.03,,,,,,1.435,,,,,67.6,,,,,,,20.671,1017.8,74.38,99.46,1.206,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,04:59:59.975000,10.93,,,28.66,,,0.06,,,,,,1.854,,,,,75.4,,,,,,,20.126,1017.7,79.8,117.64,1.511,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,05:59:59.970000,5.29,,,26.26,,,0.24,,,,,,1.765,,,,,75.2,,,,,,,20.023,1017.9,82.28,130.54,1.298,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,06:59:59.965000,5.67,,,25.95,,,0.25,,,,,,0.694,,,,,52.2,,,,,,,19.846,1018.2,82.7,107.42,1.495,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,07:59:59.960000,7.88,,,26.07,,,0.51,,,,,,0.654,,,,,59.9,,,,,,,19.854,1018.5,82.94,116.84,1.447,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,08:59:59.955000,10.13,,,30.47,,,5.43,,,,,,0.413,,,,,61.5,,,,,,,20.744,1018.9,77.48,151.58,1.276,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,09:59:59.950000,6.27,,,27.75,,,25.7,,,,,,0.219,,,,,63.2,,,,,,,21.867,1019.2,64.39,161.5,1.381,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,10:59:59.945000,6.26,,,19.03,,,49.24,,,,,,0.132,,,,,63.6,,,,,,,23.0,1019.1,55.23,200.55,0.322,,,,,,,,,,,,,
EPAA MOBILE,01/01/2023,11:59:59.940000,8.18,,,10.19,,,54.57,,,,,,0.176,,,,,60.1,,,,,,,23.115,1018.4,52.55,308.73,1.056,,,,,,,,,,,,,
